Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
Iinet,PBR,1,32,27,28,27-28,True,True,0.030619865292229802
Iinet,PBR,2,32,24,28,24-28,True,True,0.021965317731468845
Iinet,PBR,3,33,1,28,1-28,True,True,0.013565586559023563
Iinet,PBR,4,32,0,28,0-28,True,True,0.01272509791506807
Iinet,PBR,5,32,2,28,2-28,True,True,0.011875949702367434
Iinet,PBR,6,32,3,28,3-28,True,True,0.011044704671214076
Iinet,PBR,7,32,4,28,4-28,True,True,0.010248156066701042
Iinet,PBR,8,32,5,28,5-28,True,True,0.009496096942605718
Iinet,EFFRES,1,3,16,23,16-23,True,True,0.06007467709535374
Iinet,EFFRES,2,3,0,8,0-8,True,True,0.04561962626198743
Iinet,EFFRES,3,11,1,19,1-19,True,True,0.045873905670456495
Iinet,EFFRES,4,11,2,5,2-5,True,True,0.05021441129130058
Iinet,EFFRES,5,11,3,4,3-4,True,True,0.04313593513905148
Iinet,EFFRES,6,4,1,9,1-9,True,True,0.040475922875107206
Iinet,EFFRES,7,4,1,16,1-16,True,True,0.040600595355648555
Iinet,EFFRES,8,1,0,20,0-20,True,True,0.043061298530757686
Iinet,IVI,1,0,6,16,6-16,True,True,0.3561859732072497
Iinet,IVI,2,33,24,28,24-28,True,True,0.21614816404163045
Iinet,IVI,3,33,6,28,6-28,True,True,0.09014842217288539
Iinet,IVI,4,33,16,28,16-28,True,True,0.160369965647582
Iinet,IVI,5,32,27,28,27-28,True,True,0.13260073260073213
Iinet,IVI,6,32,0,28,0-28,True,True,0.056877162629757734
Iinet,IVI,7,32,1,28,1-28,True,True,0.05375356276352683
Iinet,IVI,8,32,2,28,2-28,True,True,0.05095865891019216
Iinet,NNSI,1,32,27,28,27-28,True,True,0.24999999968749997
Iinet,NNSI,2,32,24,28,24-28,True,True,0.33333333277777777
Iinet,NNSI,3,32,0,28,0-28,True,True,0.0
Iinet,NNSI,4,32,1,28,1-28,True,True,0.0
Iinet,NNSI,5,32,2,28,2-28,True,True,0.0
Iinet,NNSI,6,32,3,28,3-28,True,True,0.0
Iinet,NNSI,7,32,4,28,4-28,True,True,0.0
Iinet,NNSI,8,32,5,28,5-28,True,True,0.0
Intranetwork,PBR,1,41,13,17,13-17,True,True,0.06306306181323636
Intranetwork,PBR,2,42,13,37,13-37,True,True,0.05729093604380346
Intranetwork,PBR,3,40,10,13,10-13,True,True,0.051470587339621184
Intranetwork,PBR,4,40,13,18,13-18,True,True,0.05039787715227026
Intranetwork,PBR,5,40,13,28,13-28,True,True,0.04008438756797192
Intranetwork,PBR,6,40,13,38,13-38,True,True,0.038648985035741656
Intranetwork,PBR,7,40,13,21,13-21,True,True,0.031272926930203
Intranetwork,PBR,8,40,13,27,13-27,True,True,0.02584312205128526
Intranetwork,PBR,9,40,13,22,13-22,True,True,0.02349695555775781
Intranetwork,PBR,10,40,1,13,1-13,True,True,0.02284849903673033
Intranetwork,EFFRES,1,95,3,20,3-20,True,True,0.1974422921157319
Intranetwork,EFFRES,2,95,9,33,9-33,True,True,0.18766412839675578
Intranetwork,EFFRES,3,11,12,29,12-29,True,True,0.1969098822181641
Intranetwork,EFFRES,4,11,26,36,26-36,True,True,0.1591558144711206
Intranetwork,EFFRES,5,11,12,32,12-32,True,True,0.10179770733439357
Intranetwork,EFFRES,6,2,2,5,2-5,True,True,0.06427873982435053
Intranetwork,EFFRES,7,2,16,19,16-19,True,True,0.0495988882459681
Intranetwork,EFFRES,8,2,16,25,16-25,True,True,0.07228427443400874
Intranetwork,EFFRES,9,2,0,10,0-10,True,True,0.05232374713499206
Intranetwork,EFFRES,10,2,3,14,3-14,True,True,0.047837198136021074
Intranetwork,IVI,1,40,13,24,13-24,True,True,0.2827004219409276
Intranetwork,IVI,2,40,13,17,13-17,True,True,0.2821430438641261
Intranetwork,IVI,3,43,13,18,13-18,True,True,0.21618092452718413
Intranetwork,IVI,4,43,13,21,13-21,True,True,0.19496065386483946
Intranetwork,IVI,5,43,13,38,13-38,True,True,0.17753552283870444
Intranetwork,IVI,6,80,31,33,31-33,True,True,0.0
Intranetwork,IVI,7,81,3,5,3-5,True,True,0.9999812537516077
Intranetwork,IVI,8,81,20,25,20-25,True,True,0.7974636148721518
Intranetwork,IVI,9,62,7,13,7-13,True,True,0.13965540013115674
Intranetwork,IVI,10,81,0,9,0-9,True,True,-0.0539686078972374
Intranetwork,NNSI,1,74,4,10,4-10,True,True,0.11617010234084996
Intranetwork,NNSI,2,82,3,33,3-33,True,True,0.019200768093045023
Intranetwork,NNSI,3,82,0,31,0-31,True,True,-0.0035460642177011724
Intranetwork,NNSI,4,82,9,25,9-25,True,True,0.5208350437550547
Intranetwork,NNSI,5,16,19,38,19-38,True,True,0.00634231050607172
Intranetwork,NNSI,6,81,3,7,3-7,True,True,0.009324701473827848
Intranetwork,NNSI,7,81,5,23,5-23,True,True,0.0008559840319925338
Intranetwork,NNSI,8,81,11,22,11-22,True,True,0.0018192952317023345
Intranetwork,NNSI,9,81,12,25,12-25,True,True,0.00885541389750091
Intranetwork,NNSI,10,81,20,27,20-27,True,True,0.004449476641405902
Ilan,PBR,1,29,0,3,0-3,True,True,0.06978620347297475
Ilan,PBR,2,33,3,10,3-10,True,True,0.019865840958957506
Ilan,PBR,3,33,3,11,3-11,True,True,0.018525817775152366
Ilan,PBR,4,33,3,12,3-12,True,True,0.0169799877530458
Ilan,EFFRES,1,8,4,8,4-8,True,True,0.10718294050965782
Ilan,EFFRES,2,4,2,11,2-11,True,True,0.10296700993663516
Ilan,EFFRES,3,1,1,6,1-6,True,True,0.10335968378649991
Ilan,EFFRES,4,1,5,12,5-12,True,True,0.10702848473713453
Ilan,IVI,1,2,1,5,1-5,True,True,0.0318437009409415
Ilan,IVI,2,13,0,4,0-4,True,True,-0.06391426740780472
Ilan,IVI,3,20,0,3,0-3,True,True,0.5394769363223043
Ilan,IVI,4,15,0,5,0-5,True,True,0.38800321415380756
Ilan,NNSI,1,64,8,13,8-13,True,True,0.062499999921874994
Ilan,NNSI,2,68,8,12,8-12,True,True,0.06002554270412942
Ilan,NNSI,3,68,9,12,9-12,True,True,-0.027913882941983884
