Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
Renater2004,PBR,1,39,5,13,5-13,True,True,0.02269798770445985
Renater2004,PBR,2,39,7,13,7-13,True,True,0.019545131314548162
Renater2004,PBR,3,39,1,13,1-13,True,True,0.01697019853003334
Renater2004,PBR,4,36,13,28,13-28,True,True,0.01484480419335087
Renater2004,PBR,5,36,13,20,13-20,True,True,0.013073570770599481
Renater2004,PBR,6,32,13,15,13-15,True,True,0.012266685418483083
Renater2004,PBR,7,37,13,22,13-22,True,True,0.010228445016535035
Renater2004,PBR,8,37,13,29,13-29,True,True,0.009168034956364441
Renater2004,EFFRES,1,0,14,29,14-29,True,True,0.09133603266406998
Renater2004,EFFRES,2,0,1,28,1-28,True,True,0.04436925386818503
Renater2004,EFFRES,3,0,2,14,2-14,True,True,0.05261556019785961
Renater2004,EFFRES,4,6,0,22,0-22,True,True,0.04662456812723554
Renater2004,EFFRES,5,6,1,10,1-10,True,True,0.03901989717133099
Renater2004,EFFRES,6,85,18,24,18-24,True,True,0.03341995684576284
Renater2004,EFFRES,7,27,9,25,9-25,True,True,0.04327744871073614
Renater2004,EFFRES,8,27,23,29,23-29,True,True,0.030660149988613505
Renater2004,IVI,1,17,14,17,14-17,True,True,0.03596236779278701
Renater2004,IVI,2,69,2,24,2-24,True,True,0.18963809964239392
Renater2004,IVI,3,43,3,13,3-13,True,True,0.2003123331283811
Renater2004,IVI,4,64,4,10,4-10,True,True,0.15204677379743906
Renater2004,IVI,5,65,11,18,11-18,True,True,0.13827075791501603
Renater2004,IVI,6,65,16,26,16-26,True,True,0.12666844571337132
Renater2004,IVI,7,71,11,25,11-25,True,True,0.5653304932028764
Renater2004,IVI,8,71,0,19,0-19,True,True,0.21831870435217832
Renater2004,NNSI,1,6,2,14,2-14,True,True,0.0
Renater2004,NNSI,2,83,11,25,11-25,True,True,0.0
Renater2004,NNSI,3,76,16,18,16-18,True,True,0.0
Renater2004,NNSI,4,64,4,10,4-10,True,True,0.0
Renater2004,NNSI,5,64,17,24,17-24,True,True,0.0
Renater2004,NNSI,6,64,0,26,0-26,True,True,0.49999999937499995
Renater2004,NNSI,7,64,1,3,1-3,True,True,0.0
Renater2004,NNSI,8,64,2,4,2-4,True,True,0.0
Nsfnet,PBR,1,32,0,12,0-12,True,True,0.21763084926078946
Nsfnet,PBR,2,32,9,12,9-12,True,True,0.13629841941168258
Nsfnet,PBR,3,32,2,12,2-12,True,True,0.08078231171835942
Nsfnet,PBR,4,32,5,12,5-12,True,True,0.06284760758513826
Nsfnet,EFFRES,1,7,3,8,3-8,True,True,0.15304834714944338
Nsfnet,EFFRES,2,0,1,5,1-5,True,True,0.126427001562617
Nsfnet,EFFRES,3,0,1,10,1-10,True,True,0.12448877320352049
Nsfnet,EFFRES,4,1,2,8,2-8,True,True,0.12155656237925072
Nsfnet,IVI,1,45,8,12,8-12,True,True,0.524691358024691
Nsfnet,IVI,2,61,9,10,9-10,True,True,0.9999992968750302
Nsfnet,IVI,3,33,9,12,9-12,True,True,0.3618181763371274
Nsfnet,IVI,4,33,7,12,7-12,True,True,0.381098895310589
Nsfnet,NNSI,1,53,8,10,8-10,True,True,0.02245371523754472
Nsfnet,NNSI,2,54,3,4,3-4,True,True,0.44875970872759247
Nsfnet,NNSI,3,48,6,9,6-9,True,True,0.0
Nsfnet,NNSI,4,48,5,12,5-12,True,True,0.018518518472222304
Zamren,PBR,1,60,28,30,28-30,True,True,0.08061749479527122
Zamren,PBR,2,37,28,31,28-31,True,True,0.047380951909878226
Zamren,PBR,3,37,28,32,28-32,True,True,0.032702237223876496
Zamren,PBR,4,37,26,28,26-28,True,True,0.026027397034661393
Zamren,PBR,5,37,15,28,15-28,True,True,0.027575862221910684
Zamren,PBR,6,37,14,28,14-28,True,True,0.022011419964009307
Zamren,PBR,7,37,13,28,13-28,True,True,0.019427287878293134
Zamren,PBR,8,37,28,34,28-34,True,True,0.016000739789423464
Zamren,PBR,9,37,28,33,28-33,True,True,0.015497323063580232
Zamren,EFFRES,1,60,28,30,28-30,True,True,0.3732039870642443
Zamren,EFFRES,2,1,4,25,4-25,True,True,0.14565062636474588
Zamren,EFFRES,3,1,1,27,1-27,True,True,0.1003223919538403
Zamren,EFFRES,4,1,24,27,24-27,True,True,0.06816384372343542
Zamren,EFFRES,5,1,0,7,0-7,True,True,0.05038399514477901
Zamren,EFFRES,6,1,0,8,0-8,True,True,0.07010059853795149
Zamren,EFFRES,7,1,2,11,2-11,True,True,0.07961706079115809
Zamren,EFFRES,8,1,6,25,6-25,True,True,0.04873156398376794
Zamren,EFFRES,9,1,10,26,10-26,True,True,0.05786649309668296
Zamren,IVI,1,57,28,33,28-33,True,True,0.03263994588195516
Zamren,IVI,2,8,7,11,7-11,True,True,0.0
Zamren,IVI,3,90,0,24,0-24,True,True,0.9999990552478167
Zamren,IVI,4,90,2,19,2-19,True,True,0.24961238778848832
Zamren,IVI,5,90,3,17,3-17,True,True,-0.09653214743901645
Zamren,IVI,6,90,22,29,22-29,True,True,-0.42713898256854155
Zamren,IVI,7,90,3,20,3-20,True,True,0.12587411758484035
Zamren,IVI,8,90,5,21,5-21,True,True,0.18639454404149675
Zamren,IVI,9,90,6,16,6-16,True,True,-0.09627117533732782
Zamren,NNSI,1,18,9,17,9-17,True,True,-1.0
Zamren,NNSI,2,73,0,2,0-2,True,True,0.0404291769076088
Zamren,NNSI,3,73,1,4,1-4,True,True,0.18244715359833358
Zamren,NNSI,4,73,3,6,3-6,True,True,0.031034194662912
Zamren,NNSI,5,73,5,8,5-8,True,True,-0.02745243186033391
Zamren,NNSI,6,73,7,19,7-19,True,True,-0.07011576126454415
Zamren,NNSI,7,73,10,12,10-12,True,True,-0.05390620442628229
Zamren,NNSI,8,73,11,18,11-18,True,True,-0.10128469719133934
Zamren,NNSI,9,73,16,21,16-21,True,True,-0.053404613063838854
Arnes,PBR,1,40,7,17,7-17,True,True,0.05089058445866186
Arnes,PBR,2,40,7,28,7-28,True,True,0.03604728553517064
Arnes,PBR,3,36,7,32,7-32,True,True,0.03844103877519723
Arnes,PBR,4,36,7,29,7-29,True,True,0.030598716257170918
Arnes,PBR,5,36,7,11,7-11,True,True,0.024952430064452243
Arnes,PBR,6,36,7,14,7-14,True,True,0.024176606435482008
Arnes,PBR,7,37,7,12,7-12,True,True,0.019990578580415152
Arnes,PBR,8,37,6,7,6-7,True,True,0.018047337072557335
Arnes,PBR,9,37,7,25,7-25,True,True,0.017369726852778544
Arnes,EFFRES,1,22,15,27,15-27,True,True,0.1032247503651806
Arnes,EFFRES,2,2,1,16,1-16,True,True,0.08707034990781913
Arnes,EFFRES,3,2,10,24,10-24,True,True,0.07877482528351491
Arnes,EFFRES,4,2,12,16,12-16,True,True,0.0694815342374756
Arnes,EFFRES,5,1,1,2,1-2,True,True,0.043268581271684536
Arnes,EFFRES,6,1,1,5,1-5,True,True,0.04557448014221426
Arnes,EFFRES,7,9,8,33,8-33,True,True,0.06352282856154537
Arnes,EFFRES,8,9,10,27,10-27,True,True,0.056632593301489696
Arnes,EFFRES,9,9,20,26,20-26,True,True,0.042766276880496036
Arnes,IVI,1,39,7,14,7-14,True,True,0.2060714198686641
Arnes,IVI,2,40,7,17,7-17,True,True,0.25391909581486827
Arnes,IVI,3,73,15,33,15-33,True,True,-0.062499995222916896
Arnes,IVI,4,36,7,29,7-29,True,True,0.11007612211244613
Arnes,IVI,5,36,7,32,7-32,True,True,0.07480554275123337
Arnes,IVI,6,74,6,16,6-16,True,True,0.5576344120030546
Arnes,IVI,7,36,7,11,7-11,True,True,0.01929326752506351
Arnes,IVI,8,74,0,8,0-8,True,True,0.2107883419197634
Arnes,IVI,9,36,7,28,7-28,True,True,0.07768539383229006
Arnes,NNSI,1,61,4,30,4-30,True,True,0.03268277567166207
Arnes,NNSI,2,61,26,30,26-30,True,True,0.00692933908275703
Arnes,NNSI,3,89,12,15,12-15,True,True,-0.021826973088715562
Arnes,NNSI,4,73,0,33,0-33,True,True,-0.018763941716034307
Arnes,NNSI,5,73,11,16,11-16,True,True,0.5328811451815779
Arnes,NNSI,6,72,1,18,1-18,True,True,-0.04520941420049152
Arnes,NNSI,7,72,5,6,5-6,True,True,0.06706532867916197
Arnes,NNSI,8,72,8,10,8-10,True,True,0.013606430764067682
Arnes,NNSI,9,72,13,15,13-15,True,True,-0.025727936424552744
BtEurope,PBR,1,33,4,17,4-17,True,True,0.012237762123506041
BtEurope,PBR,2,32,17,23,17-23,True,True,0.013157894611226545
BtEurope,PBR,3,32,9,17,9-17,True,True,0.009394233799157764
BtEurope,PBR,4,32,2,17,2-17,True,True,0.008810164067674526
BtEurope,PBR,5,32,1,17,1-17,True,True,0.008242284763640686
BtEurope,PBR,6,32,3,17,3-17,True,True,0.007698675427320823
BtEurope,EFFRES,1,18,15,20,15-20,True,True,0.07373411700739843
BtEurope,EFFRES,2,65,10,12,10-12,True,True,0.06283846226059306
BtEurope,EFFRES,3,2,1,14,1-14,True,True,0.06718321617638945
BtEurope,EFFRES,4,64,11,18,11-18,True,True,0.053042584132669775
BtEurope,EFFRES,5,0,1,12,1-12,True,True,0.045102854997427624
BtEurope,EFFRES,6,0,11,14,11-14,True,True,0.051965098315407625
BtEurope,IVI,1,66,10,18,10-18,True,True,0.0714285714285714
BtEurope,IVI,2,65,11,20,11-20,True,True,0.8201158504476018
BtEurope,IVI,3,65,12,15,12-15,True,True,0.9999959005716103
BtEurope,IVI,4,65,3,14,3-14,True,True,0.2800245376634336
BtEurope,IVI,5,41,17,22,17-22,True,True,0.3837123967750267
BtEurope,IVI,6,66,0,6,0-6,True,True,-0.08630267953329644
BtEurope,NNSI,1,32,17,23,17-23,True,True,0.09374999988281249
BtEurope,NNSI,2,32,4,17,4-17,True,True,0.10344827571938169
BtEurope,NNSI,3,32,9,17,9-17,True,True,0.07692307680473373
BtEurope,NNSI,4,32,2,17,2-17,True,True,0.06666666655555561
BtEurope,NNSI,5,32,1,17,1-17,True,True,0.08333333318452384
BtEurope,NNSI,6,32,3,17,3-17,True,True,0.10857142835992578
