Run,SizeBucket,Orig_λ₂,PBR_λ₂,EFFRES_λ₂,IVI_λ₂,NNSI_λ₂,Orig_AvgNodeConn,PBR_AvgNodeConn,EFFRES_AvgNodeConn,IVI_AvgNodeConn,NNSI_AvgNodeConn,Orig_EdgeConn,PBR_EdgeConn,EFFRES_EdgeConn,IVI_EdgeConn,NNSI_EdgeConn,Orig_SpectralGap,PBR_SpectralGap,EFFRES_SpectralGap,IVI_SpectralGap,NNSI_SpectralGap,Orig_GCC_5%,PBR_GCC_5%,EFFRES_GCC_5%,IVI_GCC_5%,NNSI_GCC_5%,Orig_GCC_10%,PBR_GCC_10%,EFFRES_GCC_10%,IVI_GCC_10%,NNSI_GCC_10%,Orig_AttackCurveAUC,PBR_AttackCurveAUC,EFFRES_AttackCurveAUC,IVI_AttackCurveAUC,NNSI_AttackCurveAUC,Orig_RobustnessCoeff,PBR_RobustnessCoeff,EFFRES_RobustnessCoeff,IVI_RobustnessCoeff,NNSI_RobustnessCoeff,Orig_ASPL,PBR_ASPL,EFFRES_ASPL,IVI_ASPL,NNSI_ASPL,Orig_Diameter,PBR_Diameter,EFFRES_Diameter,IVI_Diameter,NNSI_Diameter,Orig_Efficiency,PBR_Efficiency,EFFRES_Efficiency,IVI_Efficiency,NNSI_Efficiency,Orig_ASPLVariance,PBR_ASPLVariance,EFFRES_ASPLVariance,IVI_ASPLVariance,NNSI_ASPLVariance,Orig_ArticulationPoints,PBR_ArticulationPoints,EFFRES_ArticulationPoints,IVI_ArticulationPoints,NNSI_ArticulationPoints,Orig_Bridges,PBR_Bridges,EFFRES_Bridges,IVI_Bridges,NNSI_Bridges,Orig_BetCentralization,PBR_BetCentralization,EFFRES_BetCentralization,IVI_BetCentralization,NNSI_BetCentralization,Orig_NatConnectivity,PBR_NatConnectivity,EFFRES_NatConnectivity,IVI_NatConnectivity,NNSI_NatConnectivity,Orig_EffResistance,PBR_EffResistance,EFFRES_EffResistance,IVI_EffResistance,NNSI_EffResistance,Orig_λ₂_λₙ_Ratio,PBR_λ₂_λₙ_Ratio,EFFRES_λ₂_λₙ_Ratio,IVI_λ₂_λₙ_Ratio,NNSI_λ₂_λₙ_Ratio,Orig_Assortativity,PBR_Assortativity,EFFRES_Assortativity,IVI_Assortativity,NNSI_Assortativity,Orig_AvgClustering,PBR_AvgClustering,EFFRES_AvgClustering,IVI_AvgClustering,NNSI_AvgClustering,Orig_Transitivity,PBR_Transitivity,EFFRES_Transitivity,IVI_Transitivity,NNSI_Transitivity
1,Small,0.18437891872753023,0.2653013027112214,0.2867034856123455,0.29097588319861506,0.22699603347025885,1.3611710189467832,1.4996525317702547,1.9274645831377384,1.616878835901791,1.7332273163419416,1.2,1.2,1.4,1.6,1.6,0.18437891872753023,0.2653013027112214,0.2867034856123455,0.29097588319861506,0.22699603347025885,0.8491972355130251,0.8591972355130251,0.8990164805954279,0.8203083466241361,0.9086124401913874,0.5886161482136714,0.6307214113715662,0.8218487394957983,0.668423509754779,0.6811858076563959,0.12598353210738483,0.1283521791036634,0.15855212242047292,0.1307251683554427,0.13921036984098628,0.20945203712878735,0.21398718452107762,0.2542779748186894,0.21684561072372716,0.2400027835690497,2.9427706518782033,2.3088017287101956,2.4280525631555383,2.401090524156886,2.500147264449324,6.2,4.2,4.0,4.6,4.8,0.4480644670354267,0.5231555827780083,0.5052127924782385,0.5135469515904298,0.503381890166787,1.7531031490766598,0.6922322325193353,0.6936126429555758,0.8087598050773833,0.9470357424049644,5.4,4.6,2.0,3.0,2.4,13.0,9.6,5.2,6.6,6.8,14.6176820429452,17.136092935040303,10.45494398157556,16.002453643761914,13.594664382965135,1.247555838009657,1.9894094361866128,1.4431861904040582,1.7530331891764281,1.7500742646583234,894.0008036020687,623.9939143971545,515.1457521670652,580.6116606977146,586.2664547450179,0.09444399409185936,0.14509242671568287,0.1479820883584146,0.15174327932126436,0.12206119539777016,-0.32961557781564305,-0.3368071529732698,-0.35354628755662876,-0.3260820079960668,-0.32866024172542196,0.06591703467957646,0.2933075950467255,0.08186490323614064,0.1808091440700136,0.24887147609653998,0.08056555030537152,0.20956408420737022,0.06977188066171114,0.10772354424592559,0.20697443656517783
2,Small,0.3949827829361834,0.5028319619857027,0.41026625084402923,0.42325462379789913,0.3979720448185076,1.1797480597517045,1.395850847006598,1.8854440747553416,1.664559078785826,1.483510478828507,1.0,1.0,1.6,1.4,1.4,0.3949827829361834,0.5028319619857027,0.41026625084402923,0.42325462379789913,0.3979720448185076,0.563408521303258,0.7286967418546366,0.7807017543859649,0.7763157894736843,0.7368421052631579,0.48,0.6133333333333333,0.6888888888888889,0.6844444444444444,0.6333333333333333,0.10317153729913016,0.1295080034645437,0.14643064155486757,0.14538246474028207,0.1366331914344685,0.27544175521448244,0.29556935256502354,0.3337754623122588,0.32713302786679405,0.3130217043658602,2.3493817878028405,1.8471094402673351,1.875203159413686,1.9244763423710793,1.9558395989974937,4.6,2.6,3.0,3.4,3.0,0.5580496055171379,0.638806992228045,0.6344854560644037,0.6284533935849728,0.6263923698134225,1.4442581493923665,0.4070839977148511,0.43346014499668967,0.5334482716892088,0.5992124821052404,3.0,1.4,0.6,0.8,1.0,5.8,3.0,0.6,2.0,2.0,7.770095238095237,7.745423280423282,5.15110052910053,5.721566137566137,6.13284126984127,1.187530786746932,1.714607152729504,1.4416032473682168,1.57093789531067,1.6375207068575333,195.21386752472094,121.69889507081548,97.78362882383297,110.18613310504966,112.88776029839555,0.20104960257320736,0.2795673228498151,0.23081271117342322,0.23571878604535007,0.22871242779831977,-0.5212258043841984,-0.4848915848271547,-0.44060398483356134,-0.47653633010862473,-0.45782671417143306,0.15499059219647454,0.4193124224703172,0.33126559714795006,0.39317482952777066,0.555036328194223,0.09983757156170946,0.3180514583129718,0.19683446712018143,0.2990073097597038,0.35329781289910606
3,Small,0.16777140057607465,0.29376834376281746,0.3628799250645439,0.3057459025087691,0.23114674926285858,1.3992911829140682,1.5204778326787836,2.3388722560770674,2.025356790150243,1.6592170655733063,1.0,1.2,1.8,1.6,1.2,0.16777140057607465,0.29376834376281746,0.3628799250645439,0.3057459025087691,0.23114674926285858,0.8539130434782608,0.8939130434782608,0.9714285714285713,0.9771428571428572,0.9396273291925465,0.72,0.76,0.9272727272727274,0.9242424242424242,0.8121212121212121,0.1370747045407038,0.14682141322417722,0.1845695374327302,0.17185256448822828,0.162290870948616,0.24623032835998743,0.25178588391554296,0.3170166168598411,0.2822256987303578,0.27166926210341946,3.2131415281597,2.2554271548436313,2.29354917558175,2.3760184348338877,2.503970572210578,6.6,4.2,3.8,4.2,4.8,0.46473713424262836,0.5499398282577712,0.5455836153683438,0.538122939666586,0.5304087825061371,2.8886509309112105,0.7372452786482558,0.6991573700289189,0.8375503522665934,1.315388732108071,4.6,3.2,0.8,1.2,3.6,9.4,6.6,2.4,2.2,6.6,9.278283677107208,12.493036244800951,5.661833630421865,8.123979797979798,8.84987284610814,1.3422656743362051,2.005598131439956,1.5353370330422613,1.7159607076211951,1.8812115730518442,868.8416718711438,400.75133840772713,322.14180551179663,342.78060318945967,429.8272722891396,0.09243624766013983,0.17317415405616238,0.19724016440488043,0.18705882148528144,0.1369299000522741,-0.37454160975465006,-0.30744486209378663,-0.335098339760438,-0.2842311527436813,-0.16717753523818113,0.22258771929824564,0.3889050970720217,0.1764598997493734,0.35994193060885527,0.36232648414536955,0.20055023817925194,0.3279388868688974,0.15007177033492822,0.2613088856414671,0.3095708287620921
4,Small,0.15948413878496628,0.25326543654675054,0.3725383579203806,0.3175409243628088,0.30502460695519695,1.4686838202241903,1.5321282737170285,2.2120405141752135,2.076958557171962,1.8910720143750033,1.2,1.2,1.8,1.8,1.6,0.15948413878496628,0.25326543654675054,0.3725383579203806,0.3175409243628088,0.30502460695519695,0.8175084175084175,0.8175084175084175,0.9373737373737374,0.9242424242424242,0.853872053872054,0.48480930833872005,0.49433311786252954,0.8374703727644904,0.7256841198017668,0.5943331178625295,0.12194851778211054,0.12083754202894462,0.1660242161866206,0.15120164178317017,0.1344958406346965,0.2139608465121397,0.21478729279313144,0.26806239994729836,0.24518428919754362,0.24353646174680285,2.79412755499712,2.231987165030643,2.3656253769297244,2.4362721954026303,2.3863514106992367,5.8,4.0,4.0,4.6,4.6,0.46549571397915057,0.5413304053159129,0.5211761563935481,0.516729583903497,0.5253587287645257,1.3478796628463816,0.6450444161503867,0.6685654594593566,0.8550950571212169,0.8703345482560458,5.0,4.2,1.4,1.6,3.8,10.8,7.8,2.8,3.0,6.8,11.94825641025641,15.937120879120878,8.679236002093145,9.755345194488052,13.16838217338217,1.4596528132736801,2.1901206610825326,1.6497689545598444,1.7900729452301878,1.9936877892551337,649.1105990087932,458.19521364904733,363.4328643267836,404.9863185801468,470.8262799378873,0.08119233379090074,0.14594441228828883,0.19174984821078347,0.1634441641876868,0.15710682700944814,-0.2829791319231737,-0.36484831850209026,-0.2175283585485403,-0.1465219518964075,-0.1741237126878961,0.1162430833530578,0.4070084523060575,0.10563608215782128,0.13442393119777113,0.19293093214448714,0.07331236766720636,0.2581761158452664,0.0666425640023451,0.11047797842929315,0.10756915644208458
5,Small,0.14988942165604618,0.2684873303870546,0.27614954884311016,0.23446645495187696,0.16752566175808956,1.3383307847602306,1.5222220874437211,2.121228084038232,1.6590442716188467,1.9394642358623404,1.0,1.0,1.2,1.4,1.6,0.14988942165604618,0.2684873303870546,0.27614954884311016,0.23446645495187696,0.16752566175808956,0.8115064102564103,0.8268910256410257,0.9358974358974359,0.8589743589743589,0.9225641025641025,0.5869230769230769,0.6056410256410256,0.904945054945055,0.73992673992674,0.7758974358974359,0.12109751567389151,0.1236794941360424,0.16951713710515684,0.1315733363282602,0.1561202592610858,0.18097677107709736,0.18199717924036266,0.2402372149028718,0.20356364938962362,0.23524374397543896,3.694980921738137,2.4765523596380987,2.628731733744467,2.676182944107392,2.866818453193665,7.8,4.6,4.8,5.2,5.6,0.39866144285561933,0.4860171426385338,0.46584719150402415,0.47040323169567566,0.44964242269473526,4.1156875942209314,0.7798214654323283,0.8503969539785746,1.1173841295709903,1.4070970452066973,5.2,4.0,1.6,2.2,2.2,9.2,6.6,2.6,5.2,4.6,13.391732889730667,18.905769005935856,7.598343170756964,16.47277107640845,10.595427327852242,1.1548967837078679,1.884739815486681,1.3343057153472846,1.758334298690793,1.5776101539636218,1134.8737730235273,618.3944312351932,476.83079920648277,620.060705135889,575.321213057944,0.07625504783627349,0.14494405306093217,0.14701090225708136,0.1284817446611855,0.08887451350615087,-0.3671383351766943,-0.38367791471765184,-0.40709406543866916,-0.2985868834976094,-0.2517656626762951,0.0312682657843948,0.260653518336031,0.026481940998070018,0.2463526099213277,0.18608340590877576,0.04552429667519182,0.1630253439423416,0.031961504368747604,0.17111658637796343,0.1483310332930826
6,Small,0.10683842662134661,0.2515315325256522,0.25178531881659644,0.2270658656979015,0.20946169261569278,1.2991283747242481,1.6207894713114483,2.0095951183465823,1.8801356006367396,1.4778724089279545,1.0,1.2,1.6,1.4,1.2,0.10683842662134661,0.2515315325256522,0.25178531881659644,0.2270658656979015,0.20946169261569278,0.6711017740429506,0.7992063492063493,0.8865079365079366,0.8531746031746031,0.8214285714285714,0.42692999905276113,0.5202519655205077,0.8315904139433552,0.7459884436866535,0.6381263616557733,0.09868534916321503,0.11757952299733772,0.16008417093114907,0.14267405814168288,0.13149006161331106,0.17585423472470335,0.1923944816382836,0.23666886000696846,0.22507766041753846,0.21152534583581445,3.5118288784292844,2.398566183105737,2.5423751117097977,2.508691642671359,2.8069777711643837,7.6,4.2,4.2,4.4,5.6,0.4079872189650418,0.4972903358588958,0.4744185045955838,0.4794090316917904,0.4728100889453155,3.64523866676127,0.7421073818660019,0.8187643193462011,0.7980647763035169,2.026190691269111,6.8,2.2,0.8,1.0,4.2,11.0,4.8,1.8,2.2,6.6,12.536083735909822,15.198212354990307,8.754869756920481,9.640981947046129,14.075199562916954,1.3909407337242283,1.987289989389777,1.5696081484731377,1.6741908283442577,2.008632904852427,708.1072435648969,422.20694091322946,353.5472229574239,365.9837157368241,495.18702326890633,0.05481719002621146,0.13568173816524795,0.13035903646649916,0.12264904143305219,0.11602949360033307,-0.412440332168796,-0.36381689831021913,-0.32154608231692555,-0.39850065898621806,-0.3061016853500472,0.11275781300122072,0.2893794397739951,0.11287995194688909,0.2177165022296868,0.28887788887244426,0.05849748053137882,0.1345315577968639,0.05716016660355925,0.11692097160451587,0.17051461169108223
7,Small,0.12871966484321,0.27904480784921415,0.2715560863759482,0.2278842209323221,0.21924060481531576,1.2516792778083015,1.3136514888804567,1.910276111264297,1.6815359380654342,1.4525120488415593,1.0,1.0,1.2,1.0,1.2,0.12871966484321,0.27904480784921415,0.2715560863759482,0.2278842209323221,0.21924060481531576,0.6751111111111111,0.6773333333333333,0.8926666666666667,0.7744444444444445,0.7973333333333332,0.5103973168214655,0.5326195390436876,0.7833849329205366,0.6356037151702787,0.5876590987272102,0.10596076262849322,0.10838298485071543,0.15808461153663858,0.13173847526369933,0.1227567542787418,0.1743423982517141,0.1763423982517141,0.2330463415849021,0.21247301229520804,0.19962328053130937,2.9401396173160883,2.3473065178947534,2.518206933501051,2.504849661555544,2.5117383446795207,5.6,4.0,4.4,4.6,4.6,0.4291569737805031,0.5027765101882744,0.48038168394638936,0.4849796490737662,0.48457561181090536,1.3275359649495189,0.6406816126945128,0.7663327331859703,0.8146023638653158,0.861472929894562,5.6,4.8,1.8,2.4,4.8,13.6,10.2,4.0,4.6,8.6,13.407106307435253,15.361422305764412,8.523940893901422,11.872792606516288,11.249022556390978,1.0317547132389469,1.7893682359064336,1.2155711088963765,1.3276349537662315,1.549372047531919,741.9442089093691,514.6276739620558,398.218875153128,428.97274321576197,505.7024796942081,0.06501327105931723,0.1507472753190712,0.13998172607562423,0.12162706366486611,0.11797311128290214,-0.4368488139579859,-0.3990319513562405,-0.3641589935099202,-0.3509419405575598,-0.38928928070377894,0.0,0.21704473535300597,0.0,0.1125108525108525,0.18820760606474887,0.0,0.17872666452918112,0.0,0.0650786177750564,0.14737372057421447
8,Small,0.13069477223360762,0.2173127891055966,0.2777333279292815,0.1765020155246435,0.1731691611491255,1.3633349164844515,1.3944634419997626,2.0660964619977014,1.7869354199510723,1.8231228306941525,1.0,1.0,1.6,1.6,1.6,0.13069477223360762,0.2173127891055966,0.2777333279292815,0.1765020155246435,0.1731691611491255,0.7607973286084231,0.7607973286084231,0.9231527093596059,0.8636246162632968,0.9009809381023773,0.5372379711089388,0.5178831323992614,0.8316498316498316,0.6146138807429129,0.6685348104702944,0.11315763751197654,0.10875846943681851,0.15628395652576996,0.1305518524110833,0.13858825039974673,0.16562781282473402,0.16207751696674585,0.22009876426302424,0.18579825651819032,0.1938038473797944,3.251259049032221,2.371959128171316,2.517919282019291,2.6868804785869784,2.790134322370851,6.6,4.2,4.0,5.2,5.6,0.4130268153385913,0.4918046927904928,0.472667610962168,0.4595025988916784,0.4537092803093953,2.25878682772908,0.6445753752952849,0.7057136120654611,1.0756920964676682,1.3250336687351436,4.8,4.0,1.0,1.6,2.0,11.8,9.8,3.4,2.2,3.0,16.112683027756557,20.03492615227909,11.347869716068242,14.7776034504711,13.39593328240387,1.359730184932071,2.174769617442549,1.5251766008537604,1.7394419899847962,1.7487879715453325,1137.4478933140786,629.6021097512161,506.38030708682646,570.3860994311472,616.8955726111085,0.06944916156844319,0.12058252646551444,0.1525025608308563,0.09537609577727386,0.09441724986009592,-0.3787190559268113,-0.35601872726465206,-0.3696484999981452,-0.30102685014737024,-0.22347893276592928,0.11072459838636306,0.2657465734882865,0.12447335942924176,0.2663989880852625,0.23858958198664082,0.06543689032492052,0.1757802279930619,0.06199276363604176,0.1536807286966364,0.1376166583956511
9,Small,0.2241720497074315,0.38793508386896736,0.3821238513512959,0.3372586840922436,0.33971038761787076,1.3363519225760863,1.851061739224945,2.3586233270162684,2.104245722834268,2.152561365785786,1.2,1.6,1.8,2.0,1.8,0.2241720497074315,0.38793508386896736,0.3821238513512959,0.3372586840922436,0.33971038761787076,0.8183333333333334,0.875,0.9333333333333333,0.9,0.9,0.6465539452495974,0.7466988727858292,0.9148148148148149,0.856682769726248,0.8870370370370371,0.12459117601620798,0.13785849840344727,0.1745048535283094,0.15618490350083378,0.16759021896242482,0.23390042448135917,0.24619496754513306,0.29426085072950153,0.26696256780811795,0.2861592411275828,2.750435691350392,2.0967598572026884,2.223459577325276,2.221648644156811,2.332501612120487,5.8,3.6,3.6,4.2,4.6,0.5127636828923576,0.5866775337991311,0.5678819695126408,0.5701140525939072,0.5641089485428861,1.991636013928543,0.52444324805122,0.6141684625445452,0.6573371758133499,0.9772123676113729,4.8,3.0,0.6,0.6,1.2,6.8,4.6,1.2,1.2,2.2,10.361043203941755,14.111996739822828,6.225634834910197,8.366239844838878,6.880816001395712,1.6390283922568947,2.3887425635534045,1.8405275790173707,2.0437739396007424,1.9330409537480109,681.2615111004218,394.05858321606945,300.22155182605695,326.71057409214995,362.4481866725284,0.1351925498474597,0.2353939008855929,0.22921159986777412,0.20781962767038417,0.21160234485124327,-0.4097861540562356,-0.38871599122505907,-0.35972815291942173,-0.3062408813020047,-0.36023768357126923,0.25947283623145684,0.4605859025024179,0.2707725709794675,0.40817450526334903,0.35425976169424445,0.26157998941223015,0.3400490857154342,0.24437709968841928,0.3055249165904931,0.2961555022686087
10,Small,0.24290187080271702,0.392990935898044,0.34903959825108644,0.3611245392416912,0.2712302269543192,1.5109422492401214,1.5752221918888585,2.1002238602238603,1.7954691054691054,1.9010639427306093,1.4,1.4,1.6,1.6,1.8,0.24290187080271702,0.392990935898044,0.34903959825108644,0.3611245392416912,0.2712302269543192,0.7682773682773683,0.8127218127218127,0.8989352989352989,0.8343434343434344,0.8013104013104012,0.5847953216374269,0.6235254803675856,0.8495238095238096,0.7630743525480368,0.7504761904761905,0.12115245701311936,0.13597447572285154,0.16571434698369553,0.14839174279064915,0.14371317586010107,0.22289664776711215,0.22689664776711216,0.28230111890630016,0.25265245332109737,0.27025001866302373,2.7542298612321496,2.129671470632569,2.2849938702112613,2.241674451056602,2.401865065755226,5.2,3.4,3.8,3.8,4.6,0.4884168611409542,0.5638548187404022,0.5430418337443509,0.5531952192913291,0.5378047993651133,1.4090796408960262,0.5136443450791821,0.6225721116476025,0.67199703963836,0.9653958694986493,2.6,2.2,1.2,1.0,1.4,7.6,5.6,2.6,3.6,3.4,9.624012809802283,13.607042606516291,6.754780005569479,11.063628515733779,9.75584238373712,1.178910007971179,1.7980271647201005,1.3954292561062396,1.5938897751239351,1.5736354841235465,558.5644723698144,371.35195700002345,311.7418369699195,339.2536578153953,366.6366508543116,0.13265567272910408,0.22324256141816354,0.19295925112099038,0.20412133378741454,0.15391333252476064,-0.4172721136820911,-0.4765855600645432,-0.39049115863428874,-0.47642983832468283,-0.2710266460534834,0.13092441248047654,0.3532488882910417,0.1151098761396244,0.254721963772307,0.29924031092223313,0.11890237899917963,0.23984450296604987,0.1303484707168816,0.17878387193590667,0.2149766697231565
