Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
PionierL3,PBR,1,43,18,34,18-34,True,True,0.07803700596390938
PionierL3,PBR,2,40,3,34,3-34,True,True,0.05745084018280802
PionierL3,PBR,3,40,23,34,23-34,True,True,0.048101265158848355
PionierL3,PBR,4,40,11,34,11-34,True,True,0.040673211252517286
PionierL3,PBR,5,42,28,34,28-34,True,True,0.032186459095412616
PionierL3,PBR,6,42,19,34,19-34,True,True,0.030303029943985312
PionierL3,PBR,7,42,15,34,15-34,True,True,0.026219511896817285
PionierL3,PBR,8,42,32,34,32-34,True,True,0.022846638404641385
PionierL3,PBR,9,42,33,34,33-34,True,True,0.018843404609259106
PionierL3,PBR,10,42,1,34,1-34,True,True,0.017857142671857434
PionierL3,EFFRES,1,106,17,22,17-22,True,True,0.0713579236276973
PionierL3,EFFRES,2,2,5,30,5-30,True,True,0.12434958434500289
PionierL3,EFFRES,3,3,25,29,25-29,True,True,0.08984392747162724
PionierL3,EFFRES,4,0,21,37,21-37,True,True,0.07365576346629714
PionierL3,EFFRES,5,0,4,25,4-25,True,True,0.06458701705691179
PionierL3,EFFRES,6,0,2,5,2-5,True,True,0.05345912732885087
PionierL3,EFFRES,7,0,7,37,7-37,True,True,0.04121237667074506
PionierL3,EFFRES,8,0,8,12,8-12,True,True,0.041312173348989956
PionierL3,EFFRES,9,1,15,21,15-21,True,True,0.04188993538178127
PionierL3,EFFRES,10,1,26,36,26-36,True,True,0.03965574482567789
PionierL3,IVI,1,71,8,34,8-34,True,True,0.1548405426521767
PionierL3,IVI,2,63,21,34,21-34,True,True,0.09236243835992526
PionierL3,IVI,3,63,22,34,22-34,True,True,0.0843924628594791
PionierL3,IVI,4,63,29,34,29-34,True,True,0.0777006684103455
PionierL3,IVI,5,81,2,16,2-16,True,True,0.038461538461538394
PionierL3,IVI,6,81,5,17,5-17,True,True,0.03703703703703705
PionierL3,IVI,7,81,14,37,14-37,True,True,0.9999986050002431
PionierL3,IVI,8,81,4,24,4-24,True,True,0.6656201132546644
PionierL3,IVI,9,81,2,7,2-7,True,True,-0.042253510472131085
PionierL3,IVI,10,81,5,12,5-12,True,True,-0.6845526963996873
PionierL3,NNSI,1,99,16,17,16-17,True,True,0.0
PionierL3,NNSI,2,81,2,24,2-24,True,True,0.0
PionierL3,NNSI,3,81,5,21,5-21,True,True,0.0
PionierL3,NNSI,4,81,14,29,14-29,True,True,0.0
PionierL3,NNSI,5,81,4,22,4-22,True,True,0.0
PionierL3,NNSI,6,80,2,37,2-37,True,True,0.49999999937499995
PionierL3,NNSI,7,74,0,4,0-4,True,True,0.0
PionierL3,NNSI,8,73,8,34,8-34,True,True,0.0
PionierL3,NNSI,9,80,5,7,5-7,True,True,0.0
PionierL3,NNSI,10,80,9,12,9-12,True,True,0.0
Netrail,PBR,1,5,1,4,1-4,True,True,0.1205128185192307
Netrail,PBR,2,7,2,6,2-6,True,True,0.06685632906255275
Netrail,EFFRES,1,9,3,5,3-5,True,True,0.1443579193991876
Netrail,EFFRES,2,0,0,1,0-1,True,True,0.1496286778814087
Netrail,IVI,1,6,1,5,1-5,True,True,-1.0
Netrail,IVI,2,4,1,3,1-3,True,True,0.9999998037377458
