Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
Gambia,PBR,1,35,18,21,18-21,True,True,0.051546391260495435
Gambia,PBR,2,35,2,21,2-21,True,True,0.04093799644957064
Gambia,PBR,3,34,21,26,21-26,True,True,0.03587051586840513
Gambia,PBR,4,34,21,27,21-27,True,True,0.026879370404913335
Gambia,PBR,5,34,0,21,0-21,True,True,0.020907699985965197
Gambia,PBR,6,34,1,21,1-21,True,True,0.018127705484794476
Gambia,PBR,7,34,6,21,6-21,True,True,0.015826920161168483
Gambia,EFFRES,1,17,14,17,14-17,True,True,0.12261405460815847
Gambia,EFFRES,2,3,1,19,1-19,True,True,0.1196819667321067
Gambia,EFFRES,3,3,0,27,0-27,True,True,0.05827811324846619
Gambia,EFFRES,4,3,6,14,6-14,True,True,0.08430768362460905
Gambia,EFFRES,5,3,7,14,7-14,True,True,0.0886286570329823
Gambia,EFFRES,6,3,7,18,7-18,True,True,0.06975315112045614
Gambia,EFFRES,7,3,11,19,11-19,True,True,0.060845927031647096
Gambia,IVI,1,22,17,19,17-19,True,True,0.062499999999999896
Gambia,IVI,2,46,13,21,13-21,True,True,0.31343790152488527
Gambia,IVI,3,45,11,21,11-21,True,True,0.0986891071206652
Gambia,IVI,4,45,14,21,14-21,True,True,0.5238300079774589
Gambia,IVI,5,45,3,20,3-20,True,True,0.0023468168629460096
Gambia,IVI,6,45,3,25,3-25,True,True,0.08529881875950227
Gambia,IVI,7,45,3,24,3-24,True,True,0.001966673818207922
Gambia,NNSI,1,51,3,25,3-25,True,True,0.05555555548611113
Gambia,NNSI,2,35,18,21,18-21,True,True,0.04705882346712798
Gambia,NNSI,3,35,2,21,2-21,True,True,-0.040404040347923574
Gambia,NNSI,4,35,21,27,21-27,True,True,0.11893203867618293
Gambia,NNSI,5,35,0,21,0-21,True,True,0.0023310023274705012
Gambia,NNSI,6,35,1,21,1-21,True,True,0.002002670223927847
Gambia,NNSI,7,35,6,21,6-21,True,True,-0.02608695648204163
Epoch,PBR,1,5,1,4,1-4,True,True,0.5555555373333335
Epoch,PBR,2,5,2,4,2-4,True,True,0.22448979125364407
Epoch,EFFRES,1,1,2,5,2-5,True,True,0.20774647872693944
Epoch,EFFRES,2,0,1,3,1-3,True,True,0.1999999998222217
Epoch,IVI,1,0,1,3,1-3,True,True,0.0
Epoch,IVI,2,0,2,5,2-5,True,True,0.9999999900000001
Epoch,NNSI,1,0,1,3,1-3,True,True,0.0
Epoch,NNSI,2,0,2,5,2-5,True,True,0.9999999975
Iij,PBR,1,52,15,30,15-30,True,True,0.004507713221889693
Iij,PBR,2,50,16,30,16-30,True,True,0.004469337799561406
Iij,PBR,3,40,24,30,24-30,True,True,0.00655295041226432
Iij,PBR,4,50,22,30,22-30,True,True,0.004451264322084612
Iij,PBR,5,40,19,30,19-30,True,True,0.005094589108478863
Iij,PBR,6,40,20,30,20-30,True,True,0.004368236393543436
Iij,PBR,7,40,30,32,30-32,True,True,0.003980297648950558
Iij,PBR,8,40,23,30,23-30,True,True,0.004246779606908269
Iij,PBR,9,40,4,30,4-30,True,True,0.0034912953736830916
