SizeBucket,Metric,EFFRES,IVI,NNSI,PBR
Small,ASPL,2.3678116783591845,2.3977785318899167,2.5056344415640766,2.246414100549697
Small,ASPLVariance,0.6872743810208896,0.8169931067813604,1.1294374077089857,0.632687935345136
Small,ArticulationPoints,1.18,1.54,2.6599999999999997,3.3600000000000003
Small,Assortativity,-0.35594439235165387,-0.33650984955602253,-0.29296880949437354,-0.38618389613346676
Small,AttackCurveAUC,0.16397655942054107,0.14402762078033318,0.14328889932341787,0.12577525833685416
Small,AvgClustering,0.1344944181784578,0.2574225257187196,0.2914423776029707,0.33551926246399
Small,AvgNodeConn,2.09298643910323,1.8291119320585287,1.751362370796116,1.5225519905921858
Small,BetCentralization,7.9152552521317885,11.179736221481052,10.76980017869936,15.05310425046942
Small,Bridges,2.66,3.28,5.0600000000000005,6.859999999999999
Small,Diameter,3.96,4.42,4.779999999999999,3.9
Small,EdgeConn,1.56,1.54,1.5,1.1800000000000002
Small,EffResistance,364.54446440293157,408.99322109995376,452.1998893429447,455.4881057602532
Small,Efficiency,0.5210696814569691,0.5214456651983632,0.5148192922919224,0.5381653842595467
Small,GCC_10%,0.8391389586219308,0.7358684400044284,0.7028704405237411,0.6045007878325326
Small,GCC_5%,0.905901392448398,0.858257087468324,0.8582571275257932,0.8051265287865285
Small,NatConnectivity,1.495051383406855,1.6967270522849236,1.7653573849587694,1.9922672767937548
Small,RobustnessCoeff,0.26797456043316564,0.24179162262681983,0.24648356892980963,0.2162032905204127
Small,SpectralGap,0.3240775751008618,0.29018191143087707,0.25414771694172356,0.3112469524641021
Small,Transitivity,0.10091606871328154,0.17696234110569614,0.20923804306142563,0.23456879281774384
Small,λ₂,0.3240775751008618,0.29018191143087707,0.25414771694172356,0.3112469524641021
Small,λ₂_λₙ_Ratio,0.17598098887663272,0.1618039958033759,0.1427620395883298,0.17543703712244713
