Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
Cesnet1999,PBR,1,1,9,1-9,True,0.02974525407600953,17,-1,N/A,,False
Cesnet1999,PBR,2,0,4,0-4,True,-0.02974525497852399,3,-1,N/A,,False
Cesnet1999,EFFRES,1,10,11,10-11,True,0.05158730158699444,63,-1,N/A,,False
Cesnet1999,EFFRES,2,0,6,0-6,True,0.06541049356451083,5,-1,N/A,,False
Cesnet1999,IVI,1,2,10,2-10,True,0.9790515125445198,27,-1,N/A,,False
Cesnet1999,IVI,2,0,8,0-8,True,-0.26385264000013087,6,-1,N/A,,False
Cesnet1999,NNSI,1,11,12,11-12,True,-2.0,65,-1,N/A,,False
Cesnet1999,NNSI,2,10,12,10-12,True,0.0,64,-1,N/A,,False
Harnet,PBR,1,1,5,1-5,True,0.03186812379128017,21,-1,N/A,,False
Harnet,PBR,2,8,17,8-17,True,0.003591360075510565,132,-1,N/A,,False
Harnet,PBR,3,8,12,8-12,True,0.019947017892768263,127,-1,N/A,,False
Harnet,EFFRES,1,12,20,12-20,True,0.13647294805934868,168,-1,N/A,,False
Harnet,EFFRES,2,14,15,14-15,True,-0.08627916029634125,174,-1,N/A,,False
Harnet,EFFRES,3,8,16,8-16,True,0.11486576190878811,131,-1,N/A,,False
Harnet,IVI,1,0,7,0-7,True,5.0,5,-1,N/A,,False
Harnet,IVI,2,12,17,12-17,True,5.0,166,-1,N/A,,False
Harnet,IVI,3,8,17,8-17,True,5.0,132,-1,N/A,,False
Harnet,NNSI,1,1,11,1-11,True,0.002839078005811402,27,-1,N/A,,False
Harnet,NNSI,2,8,17,8-17,True,0.0867811507422509,132,-1,N/A,,False
Harnet,NNSI,3,2,5,2-5,True,-0.7531317358286005,38,-1,N/A,,False
HostwayInternational,PBR,1,3,5,3-5,True,0.03814234653952668,36,-1,N/A,,False
HostwayInternational,PBR,2,0,7,0-7,True,-0.05040128529274268,3,-1,N/A,,False
HostwayInternational,PBR,3,3,8,3-8,True,0.02215157220754621,39,-1,N/A,,False
HostwayInternational,EFFRES,1,1,13,1-13,True,0.3178546548145683,21,-1,N/A,,False
HostwayInternational,EFFRES,2,0,7,0-7,True,-0.006881119226776672,3,-1,N/A,,False
HostwayInternational,EFFRES,3,3,8,3-8,True,0.4581269440551235,39,-1,N/A,,False
HostwayInternational,IVI,1,3,9,3-9,True,2.629917471694706,40,-1,N/A,,False
HostwayInternational,IVI,2,0,7,0-7,True,0.564129918975377,3,-1,N/A,,False
HostwayInternational,IVI,3,3,7,3-7,True,0.5412345604205153,38,-1,N/A,,False
HostwayInternational,NNSI,1,1,9,1-9,True,-0.23123811635466307,17,-1,N/A,,False
HostwayInternational,NNSI,2,0,7,0-7,True,1.0900328298538602,3,-1,N/A,,False
HostwayInternational,NNSI,3,3,8,3-8,True,3.2770524979167495,39,-1,N/A,,False
Epoch,PBR,1,3,5,3-5,True,0.03452380954408986,7,-1,N/A,,False
Epoch,PBR,2,1,3,1-3,True,-0.013983635868427408,3,-1,N/A,,False
Epoch,EFFRES,1,3,5,3-5,True,0.5345405767799272,7,-1,N/A,,False
Epoch,EFFRES,2,1,3,1-3,True,0.36877407052078437,3,-1,N/A,,False
Epoch,IVI,1,0,3,0-3,True,-0.49426162005162366,0,-1,N/A,,False
Epoch,IVI,2,1,4,1-4,True,0.7282766243411781,4,-1,N/A,,False
Epoch,NNSI,1,3,5,3-5,True,0.0,7,-1,N/A,,False
Epoch,NNSI,2,0,5,0-5,True,0.7999999999999998,1,-1,N/A,,False
Belnet2010,PBR,1,6,21,6-21,True,0.003743569889014942,112,-1,N/A,,False
Belnet2010,PBR,2,8,17,8-17,True,0.004879896984037749,132,-1,N/A,,False
Belnet2010,PBR,3,2,4,2-4,True,-0.03942706668539815,37,-1,N/A,,False
Belnet2010,EFFRES,1,16,21,16-21,True,0.2170116984695124,197,-1,N/A,,False
Belnet2010,EFFRES,2,8,16,8-16,True,0.12631192748849696,131,-1,N/A,,False
Belnet2010,EFFRES,3,2,4,2-4,True,-0.12244538516491506,37,-1,N/A,,False
Belnet2010,IVI,1,4,21,4-21,True,0.06666666633333351,84,-1,N/A,,False
Belnet2010,IVI,2,8,17,8-17,True,0.06666666633333329,132,-1,N/A,,False
Belnet2010,IVI,3,2,4,2-4,True,0.02857142842857141,37,-1,N/A,,False
Belnet2010,NNSI,1,1,3,1-3,True,0.002083418573191942,20,-1,N/A,,False
Belnet2010,NNSI,2,8,17,8-17,True,-0.002083418573191942,132,-1,N/A,,False
Belnet2010,NNSI,3,2,5,2-5,True,0.021763842232076502,38,-1,N/A,,False
Ntelos,PBR,1,0,36,0-36,True,-0.011340388169956906,31,-1,N/A,,False
Ntelos,PBR,2,7,15,7-15,True,-0.004029275565911061,300,-1,N/A,,False
Ntelos,PBR,3,4,30,4-30,True,0.0032779567314743067,195,-1,N/A,,False
Ntelos,PBR,4,8,23,8-23,True,0.003669451383031432,344,-1,N/A,,False
Ntelos,PBR,5,11,12,11-12,True,-0.0029737403824160666,438,-1,N/A,,False
Ntelos,PBR,6,33,34,33-34,True,-0.00257913835913559,977,-1,N/A,,False
Ntelos,EFFRES,1,3,16,3-16,True,0.16580781858120974,141,-1,N/A,,False
Ntelos,EFFRES,2,7,15,7-15,True,0.07566330348239655,300,-1,N/A,,False
Ntelos,EFFRES,3,4,30,4-30,True,0.1788287553038183,195,-1,N/A,,False
Ntelos,EFFRES,4,8,23,8-23,True,0.08246073925710104,344,-1,N/A,,False
