SizeBucket,Metric,EFFRES,IVI,NNSI,PBR
Large,ASPL,"[5.3921, 6.6127]","[5.3482, 6.5480]","[5.4013, 6.5838]","[5.3217, 6.4962]"
Large,ArticulationPoints,"[8.1870, 13.1730]","[8.1841, 13.1759]","[8.2690, 15.6510]","[8.0348, 12.7652]"
Large,Assortativity,"[-0.2286, -0.0624]","[-0.2285, -0.0613]","[-0.2276, -0.0577]","[-0.2282, -0.0624]"
Large,AvgClustering,"[0.0364, 0.0597]","[0.0376, 0.0624]","[0.0379, 0.0610]","[0.0340, 0.0566]"
Large,AvgNodeConn,"[1.7505, 2.0628]","[1.7551, 2.0630]","[1.7391, 2.0448]","[1.7642, 2.0853]"
Large,BetCentralization,"[27.5853, 37.5185]","[29.7196, 39.1880]","[27.4993, 37.1130]","[28.1200, 38.7472]"
Large,Bridges,"[10.6398, 33.9202]","[10.7105, 34.0095]","[11.8024, 35.3176]","[10.2845, 33.7955]"
Large,Diameter,"[11.7529, 15.6871]","[11.9159, 15.6841]","[11.8323, 15.9277]","[11.5772, 15.2228]"
Large,EffResistance,"[17845.8651, 33087.6346]","[17677.8820, 32792.8532]","[17774.0204, 33809.3883]","[17350.4467, 32360.7832]"
Large,GCC_5%,"[0.7214, 0.9513]","[0.7344, 0.9664]","[0.7243, 0.9554]","[0.7339, 0.9653]"
Large,NatConnectivity,"[1.1954, 1.4156]","[1.1973, 1.4184]","[1.1944, 1.4166]","[1.1933, 1.4146]"
Large,λ₂,"[0.0207, 0.0305]","[0.0224, 0.0312]","[0.0211, 0.0307]","[0.0246, 0.0338]"
Medium,ASPL,"[3.5386, 4.4793]","[3.5668, 4.4668]","[3.5785, 4.4790]","[3.5598, 4.4664]"
Medium,ArticulationPoints,"[8.2639, 12.1361]","[8.2897, 12.1103]","[8.2168, 12.1832]","[8.3311, 12.0689]"
Medium,Assortativity,"[-0.3095, -0.1868]","[-0.3004, -0.1776]","[-0.3079, -0.1839]","[-0.2942, -0.1713]"
Medium,AvgClustering,"[0.0553, 0.1015]","[0.0568, 0.1014]","[0.0587, 0.1025]","[0.0536, 0.1009]"
Medium,AvgNodeConn,"[1.1823, 1.4481]","[1.1870, 1.4486]","[1.1761, 1.4326]","[1.1830, 1.4465]"
Medium,BetCentralization,"[18.4568, 29.2011]","[18.7243, 29.1850]","[18.7718, 29.7450]","[18.4816, 28.9386]"
Medium,Bridges,"[15.7054, 27.0146]","[15.3553, 26.6447]","[15.8921, 27.0679]","[15.4928, 26.5072]"
Medium,Diameter,"[7.1418, 9.8182]","[7.3299, 9.9501]","[7.3098, 9.8102]","[7.3191, 9.9609]"
Medium,EffResistance,"[3024.5121, 5452.1770]","[3065.1708, 5400.8802]","[3104.1420, 5458.4983]","[3073.5199, 5409.2362]"
Medium,GCC_5%,"[0.7226, 0.9005]","[0.7319, 0.9150]","[0.7130, 0.9005]","[0.7197, 0.9045]"
Medium,NatConnectivity,"[1.3514, 1.8194]","[1.3512, 1.8116]","[1.3527, 1.8180]","[1.3455, 1.8076]"
Medium,λ₂,"[0.0553, 0.0856]","[0.0529, 0.0821]","[0.0517, 0.0800]","[0.0530, 0.0823]"
Small,ASPL,"[2.2594, 2.8217]","[2.2611, 2.8037]","[2.2526, 2.8220]","[2.2513, 2.8088]"
Small,ArticulationPoints,"[1.3220, 3.3980]","[1.4144, 3.4656]","[1.3409, 3.4591]","[1.2583, 3.3017]"
Small,Assortativity,"[-0.4090, -0.2141]","[-0.4018, -0.1783]","[-0.4101, -0.2027]","[-0.3795, -0.1657]"
Small,AvgClustering,"[0.1490, 0.3164]","[0.1514, 0.3103]","[0.1269, 0.2745]","[0.1140, 0.2644]"
Small,AvgNodeConn,"[1.1235, 1.5165]","[1.1578, 1.5622]","[1.1235, 1.5165]","[1.1578, 1.5622]"
Small,BetCentralization,"[6.0292, 9.5526]","[6.1024, 9.7635]","[5.8238, 9.2743]","[5.7463, 9.3656]"
Small,Bridges,"[2.1925, 5.9675]","[2.0968, 5.8232]","[2.1690, 5.6710]","[1.9349, 5.6651]"
Small,Diameter,"[4.2752, 5.7248]","[4.1693, 5.5107]","[4.0894, 5.5906]","[4.1155, 5.4845]"
Small,EffResistance,"[200.1061, 462.5468]","[199.3931, 462.8125]","[198.5609, 458.7803]","[196.1482, 456.6943]"
Small,GCC_5%,"[0.8218, 0.9663]","[0.8285, 0.9610]","[0.8186, 0.9597]","[0.8417, 0.9613]"
Small,NatConnectivity,"[1.2598, 1.6574]","[1.2630, 1.6639]","[1.2485, 1.6621]","[1.2466, 1.6471]"
Small,λ₂,"[0.1563, 0.2972]","[0.1572, 0.2806]","[0.1621, 0.3259]","[0.1670, 0.3151]"
