SizeBucket,Metric,EFFRES,GREEDY_ALG,GREEDY_BET,GREEDY_DEG,IVI,NNSI,PBR
Large,ASPL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,ArticulationPoints,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,Assortativity,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,AttackCurveAUC,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,AvgClustering,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,AvgNodeConn,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,BetCentralization,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,Bridges,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,Diameter,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,EffResistance,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,GCC_5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,NatConnectivity,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Large,λ₂,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,ASPL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,ArticulationPoints,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,Assortativity,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,AttackCurveAUC,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,AvgClustering,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,AvgNodeConn,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,BetCentralization,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,Bridges,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,Diameter,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,EffResistance,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,GCC_5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,NatConnectivity,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Medium,λ₂,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,ASPL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,ArticulationPoints,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,Assortativity,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,AttackCurveAUC,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,AvgClustering,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,AvgNodeConn,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,BetCentralization,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,Bridges,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,Diameter,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,EffResistance,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,GCC_5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,NatConnectivity,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Small,λ₂,N/A,N/A,N/A,N/A,N/A,N/A,N/A
