Graph,N,M,Orig_λ₂,Orig_AvgNodeConn,Orig_GCC_5%,Orig_AttackCurveAUC,Orig_ASPL,Orig_Diameter,Orig_ArticulationPoints,Orig_Bridges,Orig_BetCentralization,Orig_NatConnectivity,Orig_EffResistance,Orig_Assortativity,Orig_AvgClustering,BudgetEdges,GREEDY_DEG_λ₂,GREEDY_DEG_AvgNodeConn,GREEDY_DEG_GCC_5%,GREEDY_DEG_AttackCurveAUC,GREEDY_DEG_ASPL,GREEDY_DEG_Diameter,GREEDY_DEG_ArticulationPoints,GREEDY_DEG_Bridges,GREEDY_DEG_BetCentralization,GREEDY_DEG_NatConnectivity,GREEDY_DEG_EffResistance,GREEDY_DEG_Assortativity,GREEDY_DEG_AvgClustering,GREEDY_BET_λ₂,GREEDY_BET_AvgNodeConn,GREEDY_BET_GCC_5%,GREEDY_BET_AttackCurveAUC,GREEDY_BET_ASPL,GREEDY_BET_Diameter,GREEDY_BET_ArticulationPoints,GREEDY_BET_Bridges,GREEDY_BET_BetCentralization,GREEDY_BET_NatConnectivity,GREEDY_BET_EffResistance,GREEDY_BET_Assortativity,GREEDY_BET_AvgClustering,GREEDY_ALG_λ₂,GREEDY_ALG_AvgNodeConn,GREEDY_ALG_GCC_5%,GREEDY_ALG_AttackCurveAUC,GREEDY_ALG_ASPL,GREEDY_ALG_Diameter,GREEDY_ALG_ArticulationPoints,GREEDY_ALG_Bridges,GREEDY_ALG_BetCentralization,GREEDY_ALG_NatConnectivity,GREEDY_ALG_EffResistance,GREEDY_ALG_Assortativity,GREEDY_ALG_AvgClustering,PBR_λ₂,PBR_AvgNodeConn,PBR_GCC_5%,PBR_AttackCurveAUC,PBR_ASPL,PBR_Diameter,PBR_ArticulationPoints,PBR_Bridges,PBR_BetCentralization,PBR_NatConnectivity,PBR_EffResistance,PBR_Assortativity,PBR_AvgClustering,EFFRES_λ₂,EFFRES_AvgNodeConn,EFFRES_GCC_5%,EFFRES_AttackCurveAUC,EFFRES_ASPL,EFFRES_Diameter,EFFRES_ArticulationPoints,EFFRES_Bridges,EFFRES_BetCentralization,EFFRES_NatConnectivity,EFFRES_EffResistance,EFFRES_Assortativity,EFFRES_AvgClustering,IVI_λ₂,IVI_AvgNodeConn,IVI_GCC_5%,IVI_AttackCurveAUC,IVI_ASPL,IVI_Diameter,IVI_ArticulationPoints,IVI_Bridges,IVI_BetCentralization,IVI_NatConnectivity,IVI_EffResistance,IVI_Assortativity,IVI_AvgClustering,NNSI_λ₂,NNSI_AvgNodeConn,NNSI_GCC_5%,NNSI_AttackCurveAUC,NNSI_ASPL,NNSI_Diameter,NNSI_ArticulationPoints,NNSI_Bridges,NNSI_BetCentralization,NNSI_NatConnectivity,NNSI_EffResistance,NNSI_Assortativity,NNSI_AvgClustering
Cesnet1999,13,12,0.1835034190722744,1.0,0.3333333333333333,0.05909090909090908,2.1538461538461537,3.0,2,12,10.909090909090908,1.0142566432760445,168.00000000000009,-0.7735849056603774,0.0,2,0.1952804914215239,1.0,0.4166666666666667,0.07568181818181818,2.1153846153846154,3.0,2,7,10.454545454545455,1.1512334272730456,137.33333333333346,-0.680755395683453,0.16666666666666666,0.3923950384324878,1.0,0.3333333333333333,0.05909090909090908,1.9230769230769231,3.0,2,9,11.0,1.3534638724047483,131.75000000000003,-0.794066317626527,0.1822843822843823,0.3923950384324887,1.0,0.3333333333333333,0.05909090909090908,1.9230769230769231,3.0,2,9,11.0,1.3534638724047496,131.75000000000006,-0.794066317626527,0.1822843822843823,0.22994476958228954,1.0,0.4166666666666667,0.07568181818181818,2.08974358974359,3.0,2,8,10.0,1.2337851093971572,140.6666666666666,-0.6927899686520376,0.24273504273504276,0.22994476958228938,1.0,0.4166666666666667,0.07568181818181818,2.08974358974359,3.0,2,8,10.0,1.2337851093971586,140.66666666666669,-0.6927899686520376,0.24273504273504276,0.23297059695130745,1.0,0.4166666666666667,0.07568181818181818,2.1153846153846154,3.0,2,7,10.272727272727273,1.1694373408908698,137.3333333333333,-0.617805755395683,0.15598290598290598,0.16892339495448364,1.0,0.3333333333333333,0.06727272727272728,2.128205128205128,3.0,2,9,10.454545454545455,1.2326399936927348,151.75000000000017,-0.6259716506630082,0.20940170940170938
Harnet,21,23,0.08225004579992302,1.0,0.85,0.1282905056759546,3.057142857142857,5.0,6,13,11.982456140350877,1.0550749295203208,496.2857142857141,-0.5794486215538848,0.0,3,0.10426704263389656,1.0,0.85,0.13940333677330582,2.9047619047619047,5.0,4,6,9.43157894736842,1.1590118036981507,379.3022452504318,-0.4137115839243491,0.09841269841269842,0.2021217581492631,1.0,0.85,0.1282905056759546,2.5619047619047617,5.0,6,12,8.947368421052632,1.5130762829054436,386.708,-0.3699885452462768,0.054761904761904755,0.23789110505730526,1.0,0.75,0.12762383900928795,2.533333333333333,4.0,6,12,10.112280701754386,1.3117284361114134,368.2926292629265,-0.4958223919789924,0.011224489795918368,0.1461022300998728,1.0,0.9,0.13601031991744067,2.7714285714285714,5.0,6,10,8.087719298245615,1.306432904805704,400.2932038834954,-0.5218466611706516,0.14795918367346939,0.07283070350226152,1.0,0.75,0.12558221534227726,2.9857142857142858,5.0,5,8,11.763157894736844,1.2062926705233654,442.89017341040415,-0.41818181818181804,0.15714285714285714,0.0701340901883212,1.0,0.95,0.14869745442036464,2.9380952380952383,5.0,6,9,12.12280701754386,1.2546839042977942,451.7471910112356,-0.4293193717277488,0.20952380952380953,0.11133986934406406,1.0,0.8,0.1296418988648091,2.933333333333333,5.0,4,8,9.660401002506266,1.210370553719208,392.539616778871,-0.5205776173285207,0.05873015873015873
HostwayInternational,16,21,0.06130279974447922,1.0,1.0,0.16851648351648355,3.283333333333333,8.0,3,2,6.642857142857143,1.2563237190763428,248.26139088729138,0.05466237942122207,0.2604166666666667,3,0.06170153216113047,2.0,1.0,0.16851648351648355,3.05,7.0,0,0,5.433333333333334,1.4240909392040881,185.3105795009283,0.18840579710145092,0.3020833333333333,0.13446309511245547,1.0,1.0,0.19340659340659339,2.533333333333333,5.0,1,1,8.542857142857143,1.5806896966611055,157.82074987159734,0.005181347150259874,0.3482142857142857,0.2127237198699557,1.0,1.0,0.17708791208791208,2.4166666666666665,5.0,1,1,5.499999999999999,1.4141442472731867,138.66706211338018,-0.17919075144508584,0.20000000000000004,0.16738434462724366,2.0,1.0,0.18912087912087916,2.5166666666666666,5.0,0,0,4.04047619047619,1.4208413307846275,134.276670503423,0.12820512820512747,0.2375,0.13027495595883595,2.0,1.0,0.19225274725274724,2.6166666666666667,5.0,0,0,3.154761904761905,1.468250877006465,142.8614827640481,0.085365853658536,0.225,0.0924830432252348,2.0,1.0,0.18796703296703302,2.7333333333333334,6.0,0,0,4.685714285714285,1.4893285067723023,162.31410187667564,0.017543859649122407,0.3083333333333333,0.11827038260926791,2.0,1.0,0.18912087912087916,2.625,5.0,0,0,3.7619047619047614,1.4349487007873098,148.9903564264769,0.12820512820512747,0.2375
Epoch,6,7,0.5000000000000001,2.0,1.0,0.20000000000000004,1.6666666666666667,3.0,0,0,1.6666666666666667,1.0134545097182002,14.199999999999998,-0.16666666666666424,0.0,2,0.6666666666666659,3.0,1.0,0.20000000000000004,1.4,2.0,0,0,0.5,1.4300914982361181,9.4,,0.3333333333333333,0.5917517095361378,2.0,1.0,0.20000000000000004,1.4,2.0,0,0,2.25,1.5988201028535414,10.818181818181824,-0.45454545454545614,0.7333333333333333,0.7288521245466602,2.0,1.0,0.20000000000000004,1.4,2.0,0,0,1.1666666666666665,1.4816175990611262,9.739130434782608,-0.38461538461538675,0.27777777777777773,0.7288521245466602,2.0,1.0,0.20000000000000004,1.4,2.0,0,0,1.1666666666666665,1.4816175990611258,9.73913043478261,-0.38461538461538675,0.27777777777777773,0.9999999999999998,3.0,1.0,0.20000000000000004,1.4,2.0,0,0,0.5,1.3919170239319214,9.0,,0.0,0.4999999999999998,2.0,1.0,0.20000000000000004,1.4666666666666666,3.0,0,0,1.3333333333333333,1.580205756143528,11.109090909090918,-0.26000000000000295,0.7222222222222222,0.7052897722133649,2.0,1.0,0.20000000000000004,1.4,2.0,0,0,1.25,1.5455041782941192,10.295081967213115,-0.44000000000000256,0.47222222222222215
Belnet2010,22,25,0.08476336576354916,2.0,1.0,0.12978947368421054,3.4242424242424243,7.0,0,0,10.883333333333333,0.9640823404794293,485.74220374220306,-6.167905692361986e-16,0.0,3,0.10104873665646134,2.0,1.0,0.16721052631578948,3.168831168831169,7.0,0,0,9.846666666666666,1.0846069463194157,392.03583863955623,0.10256410256410302,0.0,0.11018247946148754,2.0,1.0,0.12978947368421054,3.0606060606060606,6.0,0,0,13.816666666666666,1.2463540150835661,413.315214949913,-0.02634593356242799,0.07456709956709956,0.1777469327036092,2.0,1.0,0.14095614035087722,2.8484848484848486,5.0,0,0,10.833333333333334,1.103348839821835,357.5944363952476,-0.030674846625767024,0.0,0.09571187188466346,2.0,1.0,0.14964912280701756,3.1082251082251084,6.0,0,0,9.983333333333333,1.1084592893622172,392.71258734912624,-0.07692307692307726,0.1515151515151515,0.11482302189310734,2.0,1.0,0.14464912280701758,3.034632034632035,6.0,0,0,9.832380952380952,1.1000467487819174,370.35789231388975,-0.03636363636363625,0.0,0.12255921489964901,2.0,1.0,0.14964912280701756,2.9437229437229435,6.0,0,0,12.216666666666667,1.1129749428910007,360.28253646449275,-0.10188019239177962,0.0,0.1267992043246572,2.0,1.0,0.18807017543859653,3.034632034632035,6.0,0,0,8.958333333333334,1.0671160672877447,359.5596358442467,-0.017094017094017665,0.0
Renater2008,33,43,0.09898171886390264,1.0,0.875,0.09570339177569434,3.102272727272727,7.0,4,6,18.333333333333332,1.3712327696735451,956.2672987524631,-0.2638624237804872,0.2184879093970003,5,0.0887258634177757,1.0,0.9375,0.11005947966876777,3.0492424242424243,7.0,2,0,17.694009216589862,1.4791820402293097,803.6961240202876,-0.18298021362283287,0.22353841444750533,0.18758512355657078,1.0,0.875,0.09925894733124989,2.632575757575758,4.0,4,6,22.995698924731183,1.8550440963302879,791.3580394937675,-0.254938601174586,0.2518518518518518,0.19626977714294352,1.0,0.875,0.10206539894415312,2.715909090909091,5.0,4,6,20.145161290322584,1.685202917064247,781.0107893064948,-0.2383519445514052,0.17085692085692086,0.11932684974569474,1.0,0.90625,0.10313617202535445,2.922348484848485,6.0,4,2,16.174193548387095,1.497746157072455,787.5691554028555,-0.23918474687705446,0.30287725742271193,0.1376596526413336,1.0,0.9375,0.11615132775394177,2.9356060606060606,6.0,4,4,15.990322580645161,1.5153148229315525,784.2726505289208,-0.22985440076953315,0.27055402509947957,0.12556183675217503,1.0,0.90625,0.10313617202535445,2.9204545454545454,6.0,4,3,16.12043010752688,1.500282392145137,786.1429043087036,-0.2503526093088854,0.28267523722069166,0.13067416993468067,1.0,0.9375,0.11999779737627346,2.9583333333333335,6.0,4,4,16.000000000000004,1.504702435858781,791.1143166116627,-0.21806728320600444,0.26028466483011936
TLex,12,13,0.35314294881925506,1.0,0.5454545454545454,0.09927272727272728,2.0757575757575757,3.0,3,8,8.2,1.2412105566847913,115.87500000000006,-0.6960573476702508,0.13373015873015873,2,0.25043283093222535,1.0,0.5454545454545454,0.09927272727272728,2.0454545454545454,3.0,3,4,8.0,1.3994441275375311,99.8750000000001,-0.5292636878539958,0.4783730158730158,0.43969093333933384,1.0,0.5454545454545454,0.09927272727272728,1.893939393939394,3.0,2,6,8.9,1.5949955704535073,97.41666666666671,-0.7141469731304627,0.31851851851851853,0.4442191843136993,1.0,0.7272727272727273,0.1283636363636364,2.0,3.0,3,5,6.9,1.4510530509241997,96.23529411764702,-0.6180758017492707,0.22003968253968256,0.444219184313699,1.0,0.7272727272727273,0.1283636363636364,2.0,3.0,3,5,6.9,1.4510530509241992,96.23529411764706,-0.6180758017492707,0.22003968253968256,0.4381725634990421,1.0,0.7272727272727273,0.1283636363636364,2.015151515151515,3.0,2,4,7.466666666666666,1.3552612081699542,92.78125000000001,-0.5292636878539958,0.13373015873015873,0.3923617881399253,1.0,0.7272727272727273,0.13186363636363638,2.015151515151515,3.0,3,5,7.4,1.3942670445031686,96.23684210526324,-0.5520565552699234,0.24781746031746035,0.4215772568033883,1.0,0.7272727272727273,0.1283636363636364,2.0303030303030303,3.0,3,5,7.333333333333333,1.4105512479861932,96.95890410958907,-0.523136246786633,0.19226190476190477
Fccn,23,25,0.07995268185797089,1.0,0.5454545454545454,0.06547596263385735,2.766798418972332,5.0,4,17,15.476190476190476,1.3229869493685082,583.5833333333335,-0.7597426813350739,0.1462670180061484,3,0.10327858887678791,1.0,0.5909090909090909,0.07042811574390523,2.6798418972332017,5.0,3,11,14.571428571428571,1.4406852910087642,492.9133333333342,-0.6019615856150389,0.3217610891523935,0.26077529349631384,1.0,0.6818181818181818,0.07638505354294826,2.272727272727273,3.0,3,15,13.80952380952381,1.7422610448301719,445.32499999999976,-0.6939051918735892,0.20449984797810888,0.2607752934963144,1.0,0.6818181818181818,0.07638505354294826,2.272727272727273,3.0,3,15,13.80952380952381,1.7422610448301696,445.32499999999993,-0.6939051918735892,0.20449984797810886,0.13229920007003854,1.0,0.6818181818181818,0.0797008430166325,2.6600790513833994,5.0,3,13,14.333333333333334,1.5332173901961506,461.16883116883116,-0.7423039054808007,0.1364953886693017,0.13351892509982624,1.0,0.5909090909090909,0.0741248575985418,2.6126482213438735,5.0,3,14,14.793650793650793,1.5234134921645064,480.20872865275163,-0.6847172081829124,0.1740447957839262,0.15129622309427673,1.0,0.6818181818181818,0.07638505354294826,2.600790513833992,5.0,3,15,13.523809523809524,1.5987766237027292,472.56565656565675,-0.7798449612403101,0.13623188405797101,0.1673015024220516,1.0,0.7272727272727273,0.0907306903622693,2.5928853754940713,5.0,3,12,13.0,1.411493304643393,445.85937499999966,-0.6609181038073809,0.11728151075977161
Abilene,11,14,0.13960337157108652,2.0,1.0,0.19833333333333336,2.418181818181818,5.0,0,0,3.4074074074074074,1.1036144850520697,75.41832669322712,0.06666666666666693,0.1515151515151515,2,0.26051103047018953,2.0,1.0,0.20000000000000004,2.0545454545454547,4.0,0,0,1.6111111111111112,1.2765604010705989,50.78978978978979,-0.06666666666666667,0.1818181818181818,0.20445480394106044,2.0,1.0,0.20000000000000004,2.1454545454545455,4.0,0,0,4.0740740740740735,1.4418100849631514,61.166007905138386,0.16666666666666666,0.28484848484848485,0.3834966755620544,2.0,1.0,0.20000000000000004,1.981818181818182,4.0,0,0,1.7037037037037035,1.2521934376321249,47.88788426763108,-0.25,0.07575757575757575,0.26539534501424744,2.0,1.0,0.20000000000000004,1.981818181818182,4.0,0,0,2.7185185185185183,1.2846669727797593,52.203983101991604,-0.23076923076923078,0.13636363636363635,0.290421965445325,2.0,1.0,0.20000000000000004,1.981818181818182,4.0,0,0,2.648148148148148,1.2839459975580223,51.4127358490566,-0.23076923076923078,0.13636363636363635,0.2700333362660903,2.0,1.0,0.19500000000000003,2.0,4.0,0,0,2.7777777777777777,1.2915641680361356,51.74482758620691,-0.2972972972972973,0.21212121212121213,0.35794458609509905,2.0,1.0,0.20000000000000004,1.9636363636363636,4.0,0,0,2.1296296296296293,1.2657265936900366,49.12330145948666,-0.15315315315315314,0.07575757575757575
Ilan,14,15,0.22655686329615302,1.0,0.6153846153846154,0.09573717948717952,2.3736263736263736,4.0,2,9,8.583333333333334,1.1480276412905126,162.00000000000006,-0.9760479041916166,0.0,2,0.24573661687186082,1.0,0.6923076923076923,0.11108974358974358,2.230769230769231,4.0,2,5,7.75,1.2661037324680133,135.30303030303034,-0.8196988196988191,0.14625850340136054,0.39286633347804367,1.0,0.6153846153846154,0.09573717948717952,1.978021978021978,3.0,2,8,8.833333333333334,1.6076936381330293,141.3333333333334,-0.865472910927456,0.30226757369614515,0.39286633347804367,1.0,0.6153846153846154,0.09573717948717952,1.978021978021978,3.0,2,8,8.833333333333334,1.6076936381330293,141.3333333333334,-0.865472910927456,0.30226757369614515,0.3654224196392528,1.0,0.6923076923076923,0.11108974358974358,2.120879120879121,4.0,2,6,8.166666666666666,1.3131790244863242,132.5714285714285,-0.8710186061179442,0.0,0.3654224196392528,1.0,0.6923076923076923,0.11108974358974358,2.120879120879121,4.0,2,6,8.166666666666666,1.3131790244863242,132.5714285714285,-0.8710186061179442,0.0,0.26534631293181105,1.0,0.6153846153846154,0.10032051282051282,2.230769230769231,4.0,2,6,8.666666666666666,1.3448198942810516,137.6666666666668,-0.8602964364553772,0.14484126984126983,0.3654224196392524,1.0,0.6923076923076923,0.11108974358974358,2.120879120879121,4.0,2,6,8.166666666666666,1.3131790244863246,132.57142857142856,-0.8710186061179442,0.0
Garr200902,54,68,0.06592705497766926,1.1408450704225352,0.8846153846153846,0.09623074632677718,3.523410202655486,7.0,15,32,24.797435897435903,1.464021802085208,3161.261062354498,-0.2706798953070784,0.05769734380845492,7,0.09018432882396657,1.481981981981982,0.9615384615384616,0.10453417810474505,3.397624039133473,6.0,11,17,21.881801211608902,1.5291620203788077,2587.437685473927,-0.15288060977606377,0.09596894874672651,0.11007075940549835,1.15,0.8846153846153846,0.10239950495658705,3.052410901467505,6.0,15,32,34.64102564102565,2.1569319429002074,2781.544818510243,-0.16497175141242962,0.09203087520080981,0.18088853824349332,1.21875,0.8846153846153846,0.11421880201775542,3.1684136967155836,6.0,15,30,13.372771672771673,1.662606952634162,2620.016175313397,-0.26825518831667955,0.055198813532146875,0.08661171598473745,1.3438914027149322,0.9230769230769231,0.11195585369805927,3.4157931516422084,7.0,14,26,19.314102564102562,1.6155109909052867,2762.6770735217024,-0.19630762701373994,0.05268558601891936,0.08798546313784111,1.3574660633484164,0.9230769230769231,0.10468491572064816,3.410901467505241,7.0,12,26,18.93397435897436,1.6144335029109615,2759.079545962465,-0.2082441776158727,0.08046336379669715,0.09093307665310305,1.3438914027149322,0.9423076923076923,0.11339034073346263,3.4157931516422084,7.0,14,25,19.18108974358975,1.6111481882851002,2735.9989998699225,-0.1913767019667172,0.05268558601891936,0.08481606443256659,1.3619909502262444,0.9423076923076923,0.11124076151035692,3.4290705800139762,7.0,13,23,21.896428571428572,1.5690423282160206,2718.6189532749104,-0.180837915778538,0.06776495109828444
Garr200908,54,68,0.06592705497766926,1.1415929203539823,0.8846153846153846,0.09623074632677718,3.523410202655486,7.0,15,32,24.797435897435903,1.464021802085208,3161.261062354498,-0.2706798953070784,0.05769734380845492,7,0.09018432882396657,1.4794520547945205,0.9615384615384616,0.10453417810474505,3.397624039133473,6.0,11,17,21.881801211608902,1.5291620203788077,2587.437685473927,-0.15288060977606377,0.09596894874672651,0.11007075940549835,1.1945701357466063,0.8846153846153846,0.10239950495658705,3.052410901467505,6.0,15,32,34.64102564102565,2.1569319429002074,2781.544818510243,-0.16497175141242962,0.09203087520080981,0.18088853824349332,1.2837837837837838,0.8846153846153846,0.11421880201775542,3.1684136967155836,6.0,15,30,13.372771672771673,1.662606952634162,2620.016175313397,-0.26825518831667955,0.055198813532146875,0.085288273105735,1.3468468468468469,0.9423076923076923,0.11351256557299617,3.4255765199161425,7.0,14,24,21.29450549450549,1.5765380730912288,2727.755595230747,-0.18796626662341856,0.07023408690075358,0.07558022148498204,1.3212669683257918,0.9423076923076923,0.10057594266604739,3.4542278127183788,7.0,14,26,21.770879120879123,1.6473130139485488,2841.030335249782,-0.18119404529851152,0.0855192132969911,0.0826753529825007,1.3981900452488687,0.9423076923076923,0.10452085921226392,3.440251572327044,7.0,14,23,22.241941391941392,1.5668850627402164,2702.759821696484,-0.17132804365777504,0.057888407888407906,0.0884670586757093,1.3727272727272728,0.9230769230769231,0.11061064358755249,3.3955276030747727,7.0,12,26,18.214346764346768,1.6123724782622628,2732.896838055645,-0.21856456626165627,0.05145101811768479
RoedunetFibre,48,52,0.018914554189756867,1.0,0.6304347826086957,0.10915167719630801,5.206560283687943,13.0,13,25,24.818840579710145,0.9691840353838256,4149.915649910509,-0.3238602723505036,0.0,6,0.02874181244827427,1.0,0.9347826086956522,0.1223805176738846,4.874113475177305,11.0,7,7,23.420289855072472,1.0730274141500689,3022.4875162028397,-0.10233918128654997,0.08680555555555554,0.07687577609054712,1.0,0.6304347826086957,0.10439687223652122,3.75354609929078,9.0,12,21,31.934782608695652,1.3057616906222558,2765.4174011139676,-0.05947249434815367,0.038979076479076474,0.08890898807807958,1.0,0.8695652173913043,0.12518425744936224,3.8439716312056738,9.0,12,21,16.95579710144927,1.0892828353142603,2593.183567713469,-0.23513753327417952,0.0,0.025929068177882524,1.0,0.9130434782608695,0.13115521860704837,4.580673758865248,12.0,9,16,23.445652173913043,1.1044382891904172,3176.8703723569924,-0.21960138965075895,0.025297619047619044,0.046056193612191015,1.0,0.9130434782608695,0.1367295433180719,4.309397163120567,11.0,8,13,18.566666666666674,1.0729170805451003,2717.8054832289554,-0.255125284738041,0.0,0.026324528137359134,1.0,0.8913043478260869,0.1260700821222533,4.549645390070922,12.0,11,17,24.002898550724638,1.111951845156743,3194.8394638914497,-0.19150764999140477,0.030605158730158736,0.025979596487831828,1.0,0.9130434782608695,0.1262895027626091,4.576241134751773,12.0,9,17,24.835507246376814,1.0918656546300565,3196.0788986577045,-0.2252626970227668,0.03125
Cesnet201006,52,63,0.06367675805251642,1.1261261261261262,0.62,0.0734399502561721,3.0520361990950224,6.0,11,33,36.8,1.65181167109776,2835.400002732649,-0.37387670997653283,0.07926052804595314,7,0.08360834672749394,1.399103139013453,0.74,0.08374334434405274,2.975113122171946,5.0,7,19,34.813333333333325,1.7141856765307546,2347.6092174466053,-0.2948968233102683,0.07926052804595314,0.13484088145165887,1.1889400921658986,0.62,0.07597028392654624,2.731523378582202,4.0,11,33,40.70666666666666,2.448270978988326,2479.283722831419,-0.35060143497622226,0.12684418145956608,0.1639520942141186,1.2105263157894737,0.62,0.08582463094705076,2.874057315233786,5.0,11,33,30.94333333333333,2.069809958517969,2466.11514993718,-0.3726269754497564,0.08149701176016964,0.1133414259265913,1.2008928571428572,0.66,0.09270574512119854,2.9479638009049776,5.0,10,24,33.88533333333334,1.801928747199182,2388.6827278358496,-0.3282372394350925,0.16455191232519162,0.1133414259265913,1.2008928571428572,0.66,0.09270574512119854,2.9479638009049776,5.0,10,24,33.88533333333334,1.801928747199182,2388.6827278358496,-0.3282372394350925,0.16455191232519162,0.12293296765747595,1.251121076233184,0.64,0.10037865109042146,2.9268476621417796,5.0,10,26,32.68333333333333,1.8082107028448213,2342.846459135302,-0.3458889131860924,0.10398530843874974,0.10720724730533684,1.2027027027027026,0.62,0.09308124625502037,2.9291101055806936,5.0,10,26,33.223333333333336,1.8018313154357175,2376.6207902531264,-0.34464053785621535,0.13570575847903782
AsnetAm,65,77,0.03972426568766975,1.0622222222222222,0.25806451612903225,0.057520069933089446,3.776923076923077,8.0,16,41,42.64126984126984,1.526386147817573,6005.947238928376,-0.29727509615227704,0.12748845925316513,8,0.04631758958023838,1.303964757709251,0.5161290322580645,0.07293106025951333,3.7052884615384616,8.0,11,21,40.351359398978445,1.5982901342548874,4818.125481125387,-0.22609460582526145,0.1583582430641254,0.05441800745407947,1.1521739130434783,0.25806451612903225,0.056438928374291486,3.0682692307692307,6.0,13,36,52.04761904761903,2.223735780465574,4542.603068185883,-0.26671038936416364,0.19404006250160094,0.06385629301497522,1.0873362445414847,0.46774193548387094,0.07060081849899097,3.4269230769230767,7.0,15,37,41.50052910052911,1.9503298615276183,4852.3379932009775,-0.28293810915210654,0.17183927183927183,0.04323913336781887,1.1333333333333333,0.2903225806451613,0.06613724854037556,3.6769230769230767,8.0,14,28,39.498412698412714,1.6929750311840492,4897.652423515331,-0.24574438519393463,0.1301623522676154,0.06628592729380606,1.2133333333333334,0.5161290322580645,0.07822402351969594,3.539423076923077,7.0,13,27,40.00846560846559,1.6766022609973645,4545.0011352885695,-0.2482307802857753,0.12041876252402567,0.04567365686964874,1.0933333333333333,0.3064516129032258,0.06574300706140654,3.566346153846154,7.0,14,30,41.63386243386243,1.779826503940876,4963.3747794105875,-0.2378577706446559,0.16127603390761286,0.04378572186685633,1.1205357142857142,0.5,0.0721263273447485,3.648076923076923,7.0,15,31,41.235978835978855,1.6867422380485544,5032.250671063009,-0.25137788156971774,0.13221363431889746
