Graph,Reward,Step,Node_U,Node_V,Edge,WasAdded,StepReward,AgentAction,GreedyAction,GreedyEdge,GreedyReward,AgentMatchedGreedy
Cesnet1999,PBR,1,8,12,8-12,True,0.028140490376800505,59,-1,N/A,,False
Cesnet1999,PBR,2,0,4,0-4,True,-0.018852221177311935,3,-1,N/A,,False
Cesnet1999,EFFRES,1,11,12,11-12,True,0.01146820910677153,65,-1,N/A,,False
Cesnet1999,EFFRES,2,0,4,0-4,True,0.17161998072080586,3,-1,N/A,,False
Cesnet1999,IVI,1,2,10,2-10,True,0.9790515125445198,27,-1,N/A,,False
Cesnet1999,IVI,2,0,8,0-8,True,-0.26385264000013087,6,-1,N/A,,False
Cesnet1999,NNSI,1,11,12,11-12,True,-2.0,65,-1,N/A,,False
Cesnet1999,NNSI,2,10,12,10-12,True,0.0,64,-1,N/A,,False
Harnet,PBR,1,1,18,1-18,True,-0.02912156137098259,34,-1,N/A,,False
Harnet,PBR,2,8,17,8-17,True,-0.012487365650665376,132,-1,N/A,,False
Harnet,PBR,3,18,19,18-19,True,-0.05768069640409529,186,-1,N/A,,False
Harnet,EFFRES,1,5,11,5-11,True,0.04925572149226656,88,-1,N/A,,False
Harnet,EFFRES,2,8,17,8-17,True,0.02826027789015658,132,-1,N/A,,False
Harnet,EFFRES,3,1,3,1-3,True,-0.021016262539008797,19,-1,N/A,,False
Harnet,IVI,1,0,7,0-7,True,5.0,5,-1,N/A,,False
Harnet,IVI,2,12,17,12-17,True,5.0,166,-1,N/A,,False
Harnet,IVI,3,8,17,8-17,True,5.0,132,-1,N/A,,False
Harnet,NNSI,1,1,11,1-11,True,0.002839078005811402,27,-1,N/A,,False
Harnet,NNSI,2,8,17,8-17,True,0.0867811507422509,132,-1,N/A,,False
Harnet,NNSI,3,2,5,2-5,True,-0.7531317358286005,38,-1,N/A,,False
HostwayInternational,PBR,1,1,11,1-11,True,-0.012781047920759106,19,-1,N/A,,False
HostwayInternational,PBR,2,0,7,0-7,True,-0.03457931472726414,3,-1,N/A,,False
HostwayInternational,PBR,3,3,8,3-8,True,0.005283020825767924,39,-1,N/A,,False
HostwayInternational,EFFRES,1,4,5,4-5,True,0.18653623832636548,47,-1,N/A,,False
HostwayInternational,EFFRES,2,0,7,0-7,True,0.06831461304796178,3,-1,N/A,,False
HostwayInternational,EFFRES,3,3,13,3-13,True,0.30852053350010283,44,-1,N/A,,False
HostwayInternational,IVI,1,3,9,3-9,True,2.629917471694706,40,-1,N/A,,False
HostwayInternational,IVI,2,0,7,0-7,True,0.564129918975377,3,-1,N/A,,False
HostwayInternational,IVI,3,3,7,3-7,True,0.5412345604205153,38,-1,N/A,,False
HostwayInternational,NNSI,1,1,9,1-9,True,-0.23123811635466307,17,-1,N/A,,False
HostwayInternational,NNSI,2,0,7,0-7,True,1.0900328298538602,3,-1,N/A,,False
HostwayInternational,NNSI,3,3,8,3-8,True,3.2770524979167495,39,-1,N/A,,False
Epoch,PBR,1,2,4,2-4,True,-0.048112863386929564,5,-1,N/A,,False
Epoch,PBR,2,1,3,1-3,True,0.002279278318309791,3,-1,N/A,,False
Epoch,EFFRES,1,2,5,2-5,True,0.37441314552527616,6,-1,N/A,,False
Epoch,EFFRES,2,1,3,1-3,True,0.533333333315555,3,-1,N/A,,False
Epoch,IVI,1,0,3,0-3,True,-0.49426162005162366,0,-1,N/A,,False
Epoch,IVI,2,1,4,1-4,True,0.7282766243411781,4,-1,N/A,,False
Epoch,NNSI,1,3,5,3-5,True,0.0,7,-1,N/A,,False
Epoch,NNSI,2,0,5,0-5,True,0.7999999999999998,1,-1,N/A,,False
Belnet2010,PBR,1,0,2,0-2,True,-0.009625943680815955,1,-1,N/A,,False
Belnet2010,PBR,2,12,20,12-20,True,-0.010658573123533036,175,-1,N/A,,False
Belnet2010,PBR,3,8,17,8-17,True,-0.011399408305972341,132,-1,N/A,,False
Belnet2010,EFFRES,1,2,20,2-20,True,0.07205975141371113,52,-1,N/A,,False
Belnet2010,EFFRES,2,8,17,8-17,True,0.10180078259365892,132,-1,N/A,,False
Belnet2010,EFFRES,3,2,4,2-4,True,0.11523983540583517,37,-1,N/A,,False
Belnet2010,IVI,1,4,21,4-21,True,0.06666666633333351,84,-1,N/A,,False
Belnet2010,IVI,2,8,17,8-17,True,0.06666666633333329,132,-1,N/A,,False
Belnet2010,IVI,3,2,4,2-4,True,0.02857142842857141,37,-1,N/A,,False
Belnet2010,NNSI,1,1,3,1-3,True,0.002083418573191942,20,-1,N/A,,False
Belnet2010,NNSI,2,8,17,8-17,True,-0.002083418573191942,132,-1,N/A,,False
Belnet2010,NNSI,3,2,5,2-5,True,0.021763842232076502,38,-1,N/A,,False
Renater2008,PBR,1,15,22,15-22,True,0.004111873529874993,357,-1,N/A,,False
Renater2008,PBR,2,4,23,4-23,True,-0.004078510694348846,131,-1,N/A,,False
Renater2008,PBR,3,11,29,11-29,True,0.0011050892002289175,294,-1,N/A,,False
Renater2008,PBR,4,12,16,12-16,True,-0.0022524572770779615,301,-1,N/A,,False
Renater2008,PBR,5,4,31,4-31,True,-0.009194750563894568,139,-1,N/A,,False
Renater2008,EFFRES,1,1,30,1-30,True,0.05932193452317604,56,-1,N/A,,False
Renater2008,EFFRES,2,4,24,4-24,True,0.01835177464899061,132,-1,N/A,,False
Renater2008,EFFRES,3,11,30,11-30,True,0.022257024959698706,295,-1,N/A,,False
Renater2008,EFFRES,4,12,17,12-17,True,0.08874900311322569,302,-1,N/A,,False
Renater2008,EFFRES,5,4,32,4-32,True,0.03899011993331744,140,-1,N/A,,False
Renater2008,IVI,1,15,17,15-17,True,0.0,352,-1,N/A,,False
Renater2008,IVI,2,4,23,4-23,True,5.0,131,-1,N/A,,False
Renater2008,IVI,3,11,29,11-29,True,5.0,294,-1,N/A,,False
Renater2008,IVI,4,12,16,12-16,True,5.0,301,-1,N/A,,False
Renater2008,IVI,5,4,31,4-31,True,0.0,139,-1,N/A,,False
Renater2008,NNSI,1,5,10,5-10,True,-0.3157894736842106,144,-1,N/A,,False
Renater2008,NNSI,2,4,23,4-23,True,0.0,131,-1,N/A,,False
Renater2008,NNSI,3,11,30,11-30,True,0.08695652173913082,295,-1,N/A,,False
Renater2008,NNSI,4,12,17,12-17,True,-0.08695652173913082,302,-1,N/A,,False
Renater2008,NNSI,5,3,17,3-17,True,0.0,99,-1,N/A,,False
TLex,PBR,1,3,8,3-8,True,-0.03812236164425406,30,-1,N/A,,False
TLex,PBR,2,0,5,0-5,True,0.030330282204177814,3,-1,N/A,,False
TLex,EFFRES,1,1,8,1-8,True,0.17171410948004787,15,-1,N/A,,False
TLex,EFFRES,2,0,5,0-5,True,0.12367584589345533,3,-1,N/A,,False
TLex,IVI,1,4,5,4-5,True,-0.39761967934846765,32,-1,N/A,,False
TLex,IVI,2,0,5,0-5,True,-5.0,3,-1,N/A,,False
TLex,NNSI,1,2,6,2-6,True,0.0,21,-1,N/A,,False
TLex,NNSI,2,0,5,0-5,True,-2.545454545454545,3,-1,N/A,,False
Fccn,PBR,1,0,10,0-10,True,0.023384849219899667,8,-1,N/A,,False
Fccn,PBR,2,7,20,7-20,True,-0.06368975854395138,132,-1,N/A,,False
Fccn,PBR,3,1,20,1-20,True,-0.058845014909976845,38,-1,N/A,,False
Fccn,EFFRES,1,7,17,7-17,True,0.10006068004190527,129,-1,N/A,,False
Fccn,EFFRES,2,7,20,7-20,True,0.04932506155861529,132,-1,N/A,,False
Fccn,EFFRES,3,1,19,1-19,True,0.09241492429268917,37,-1,N/A,,False
Fccn,IVI,1,0,20,0-20,True,5.0,18,-1,N/A,,False
Fccn,IVI,2,7,20,7-20,True,-5.0,132,-1,N/A,,False
Fccn,IVI,3,1,20,1-20,True,5.0,38,-1,N/A,,False
Fccn,NNSI,1,10,14,10-14,True,-0.0961538461538467,162,-1,N/A,,False
Fccn,NNSI,2,7,19,7-19,True,-0.08241758241758212,131,-1,N/A,,False
Fccn,NNSI,3,1,19,1-19,True,-0.07142857142857117,37,-1,N/A,,False
Abilene,PBR,1,0,8,0-8,True,-0.024654680865702893,5,-1,N/A,,False
Abilene,PBR,2,0,6,0-6,True,-0.025776073052055506,3,-1,N/A,,False
Abilene,EFFRES,1,0,4,0-4,True,0.41797768400351465,1,-1,N/A,,False
Abilene,EFFRES,2,0,7,0-7,True,0.06910167577746952,4,-1,N/A,,False
Abilene,IVI,1,2,8,2-8,True,-0.7245335310499279,21,-1,N/A,,False
Abilene,IVI,2,0,6,0-6,True,-5.0,3,-1,N/A,,False
Abilene,NNSI,1,3,10,3-10,True,-0.22299144838388862,27,-1,N/A,,False
Abilene,NNSI,2,0,6,0-6,True,0.0,3,-1,N/A,,False
Ilan,PBR,1,6,8,6-8,True,0.036296191330371846,49,-1,N/A,,False
Ilan,PBR,2,0,5,0-5,True,-0.0709776519643675,3,-1,N/A,,False
Ilan,EFFRES,1,6,8,6-8,True,0.17075079406035226,49,-1,N/A,,False
Ilan,EFFRES,2,0,5,0-5,True,0.1587133443529603,3,-1,N/A,,False
Ilan,IVI,1,1,10,1-10,True,-5.0,13,-1,N/A,,False
Ilan,IVI,2,0,4,0-4,True,2.264542081167062,2,-1,N/A,,False
Ilan,NNSI,1,2,8,2-8,True,0.0,21,-1,N/A,,False
Ilan,NNSI,2,0,5,0-5,True,0.0,3,-1,N/A,,False
Garr200902,PBR,1,3,51,3-51,True,0.006962069594381092,199,-1,N/A,,False
Garr200902,PBR,2,6,12,6-12,True,-0.00994051885506662,300,-1,N/A,,False
Garr200902,PBR,3,33,37,33-37,True,0.0005014570737827961,1164,-1,N/A,,False
Garr200902,PBR,4,3,46,3-46,True,0.0030139078568348103,194,-1,N/A,,False
Garr200902,PBR,5,7,12,7-12,True,-0.010626816802655578,344,-1,N/A,,False
Garr200902,PBR,6,9,23,9-23,True,0.007700151154960655,438,-1,N/A,,False
Garr200902,PBR,7,24,52,24-52,True,-0.025319694185528558,977,-1,N/A,,False
Garr200902,EFFRES,1,1,7,1-7,True,0.007608163976946228,56,-1,N/A,,False
Garr200902,EFFRES,2,6,12,6-12,True,0.0421855599252812,300,-1,N/A,,False
Garr200902,EFFRES,3,33,37,33-37,True,0.0187634871650997,1164,-1,N/A,,False
Garr200902,EFFRES,4,3,47,3-47,True,0.014181433925514086,195,-1,N/A,,False
Garr200902,EFFRES,5,7,12,7-12,True,0.03364827246906005,344,-1,N/A,,False
Garr200902,EFFRES,6,9,23,9-23,True,0.02622459995230237,438,-1,N/A,,False
Garr200902,EFFRES,7,24,52,24-52,True,0.0064555604693634,977,-1,N/A,,False
Garr200902,IVI,1,5,34,5-34,True,5.0,276,-1,N/A,,False
Garr200902,IVI,2,6,12,6-12,True,0.0,300,-1,N/A,,False
Garr200902,IVI,3,33,37,33-37,True,5.0,1164,-1,N/A,,False
Garr200902,IVI,4,3,46,3-46,True,0.0,194,-1,N/A,,False
Garr200902,IVI,5,7,12,7-12,True,0.0,344,-1,N/A,,False
Garr200902,IVI,6,9,23,9-23,True,0.0,438,-1,N/A,,False
Garr200902,IVI,7,24,52,24-52,True,-5.0,977,-1,N/A,,False
Garr200902,NNSI,1,49,50,49-50,True,-0.006383732274057863,1353,-1,N/A,,False
Garr200902,NNSI,2,6,11,6-11,True,0.12301653116674949,299,-1,N/A,,False
Garr200902,NNSI,3,33,36,33-36,True,0.015322484531806957,1163,-1,N/A,,False
Garr200902,NNSI,4,3,46,3-46,True,-0.09391553487221671,194,-1,N/A,,False
Garr200902,NNSI,5,7,11,7-11,True,0.07656245877338463,343,-1,N/A,,False
Garr200902,NNSI,6,9,22,9-22,True,-0.042546134118140344,437,-1,N/A,,False
Garr200902,NNSI,7,24,51,24-51,True,-0.03973787580092569,976,-1,N/A,,False
Garr200908,PBR,1,39,52,39-52,True,-0.011662942198885062,1275,-1,N/A,,False
Garr200908,PBR,2,6,11,6-11,True,0.0034533975792358116,299,-1,N/A,,False
Garr200908,PBR,3,33,36,33-36,True,0.004907193893241688,1163,-1,N/A,,False
Garr200908,PBR,4,3,46,3-46,True,0.0067464479746949,194,-1,N/A,,False
